,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,321,320,288,307,352,307,1,0,0,1,144
capture_2020_04_17_11_39_49_7214,322,321,288,308,352,308,1,0,0,1,144
capture_2020_04_17_11_39_49_7215,322,322,288,309,352,309,1,0,0,1,144
capture_2020_04_17_11_39_49_7216,323,322,288,309,352,309,1,0,0,1,144
capture_2020_04_17_11_39_49_7217,323,322,288,309,352,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7218,323,322,288,307,354,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,328,319,288,307,354,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7220,323,319,288,305,355,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7221,324,319,288,304,357,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7222,328,316,288,304,357,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,328,316,288,304,359,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,330,316,289,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,332,312,292,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,335,306,295,295,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,344,304,304,293,373,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,344,304,305,291,376,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,348,304,309,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,349,304,311,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,351,304,311,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,351,304,320,290,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,351,304,320,291,384,296,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,351,304,320,293,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7235,349,304,310,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7236,349,316,309,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7237,347,316,308,304,376,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7238,344,316,305,304,373,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7239,337,310,304,304,371,305,0,0,0,0,130
capture_2020_04_17_11_39_49_7240,337,310,304,305,368,307,0,0,0,0,130
capture_2020_04_17_11_39_49_7241,337,317,304,305,368,305,0,0,0,0,130
capture_2020_04_17_11_39_49_7242,331,313,295,304,368,304,0,0,0,0,130
capture_2020_04_17_11_39_49_7243,330,316,304,304,368,304,0,0,0,0,130
capture_2020_04_17_11_39_49_7244,331,317,296,304,368,304,0,0,0,0,130
capture_2020_04_17_11_39_49_7245,329,318,296,304,368,304,0,0,0,0,130
capture_2020_04_17_11_39_49_7246,330,321,294,304,368,304,0,0,0,0,130
capture_2020_04_17_11_39_49_7247,331,321,296,306,368,305,0,0,0,0,130
capture_2020_04_17_11_39_49_7248,336,321,304,307,368,306,0,0,0,0,128
capture_2020_04_17_11_39_49_7249,337,323,304,308,368,308,0,0,0,0,128
capture_2020_04_17_11_39_49_7250,337,326,304,308,368,308,0,0,0,0,128
capture_2020_04_17_11_39_49_7251,338,326,304,308,371,308,0,0,0,0,130
capture_2020_04_17_11_39_49_7252,340,327,304,308,371,308,0,0,0,0,130
capture_2020_04_17_11_39_49_7253,341,322,304,308,371,308,0,0,0,0,130
capture_2020_04_17_11_39_49_7254,340,325,304,308,373,308,0,0,0,0,130
capture_2020_04_17_11_39_49_7255,342,328,304,310,372,310,0,0,0,0,130
capture_2020_04_17_11_39_49_7256,341,326,305,310,374,311,0,0,0,0,130
capture_2020_04_17_11_39_49_7257,342,331,304,311,372,310,0,0,0,0,130
capture_2020_04_17_11_39_49_7258,340,328,304,311,372,310,0,0,0,0,130
capture_2020_04_17_11_39_49_7259,340,331,304,311,372,310,0,0,0,0,130
capture_2020_04_17_11_39_49_7260,346,339,304,311,372,310,0,0,0,0,144
capture_2020_04_17_11_39_49_7261,345,337,304,311,372,310,0,0,0,0,144
capture_2020_04_17_11_39_49_7262,347,335,304,308,375,308,0,0,0,0,144
capture_2020_04_17_11_39_49_7263,349,334,305,307,374,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7264,348,332,305,306,376,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7265,347,326,305,306,376,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7266,349,326,305,306,376,305,0,0,0,0,144
