,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0.49056603773584906,0.65822784810126578,0.49212598425196852,0.7103825136612022,0.49420849420849422,0.73863636363636365,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7214,0.49433962264150944,0.66455696202531644,0.49212598425196852,0.71584699453551914,0.49420849420849422,0.74431818181818177,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7215,0.49433962264150944,0.67088607594936711,0.49212598425196852,0.72131147540983609,0.49806949806949807,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7216,0.49811320754716981,0.67088607594936711,0.49212598425196852,0.72131147540983609,0.49806949806949807,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7217,0.49811320754716981,0.67088607594936711,0.49212598425196852,0.72131147540983609,0.49806949806949807,0.75,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7218,0.49811320754716981,0.67088607594936711,0.49212598425196852,0.7103825136612022,0.50579150579150578,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7219,0.51320754716981132,0.65189873417721522,0.49212598425196852,0.7103825136612022,0.50579150579150578,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7220,0.49811320754716981,0.65189873417721522,0.49212598425196852,0.69945355191256831,0.50965250965250963,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7221,0.50188679245283019,0.65189873417721522,0.49212598425196852,0.69398907103825136,0.51737451737451734,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7222,0.51320754716981132,0.62658227848101267,0.49212598425196852,0.68852459016393441,0.51737451737451734,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7223,0.51320754716981132,0.62658227848101267,0.49606299212598426,0.68852459016393441,0.525096525096525,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7224,0.52452830188679245,0.62658227848101267,0.5,0.68852459016393441,0.555984555984556,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7225,0.5320754716981132,0.60759493670886078,0.51181102362204722,0.68852459016393441,0.555984555984556,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7226,0.54339622641509433,0.569620253164557,0.52362204724409445,0.644808743169399,0.555984555984556,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7227,0.57358490566037734,0.55696202531645567,0.55511811023622049,0.63387978142076506,0.5791505791505791,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7228,0.57735849056603772,0.55696202531645567,0.562992125984252,0.62295081967213117,0.59073359073359077,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7229,0.59245283018867922,0.55696202531645567,0.57874015748031493,0.62295081967213117,0.61776061776061775,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7230,0.5962264150943396,0.55696202531645567,0.58661417322834641,0.62295081967213117,0.61776061776061775,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7231,0.60377358490566035,0.55696202531645567,0.58661417322834641,0.62295081967213117,0.61776061776061775,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7232,0.60377358490566035,0.55696202531645567,0.61811023622047245,0.61748633879781423,0.61776061776061775,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7233,0.60377358490566035,0.55696202531645567,0.61811023622047245,0.62295081967213117,0.61776061776061775,0.67613636363636365,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7234,0.60377358490566035,0.55696202531645567,0.61811023622047245,0.63387978142076506,0.61776061776061775,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7235,0.5962264150943396,0.55696202531645567,0.58267716535433067,0.68852459016393441,0.61776061776061775,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7236,0.5962264150943396,0.62658227848101267,0.57874015748031493,0.68852459016393441,0.61776061776061775,0.71590909090909094,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7237,0.58867924528301885,0.63291139240506333,0.57480314960629919,0.68852459016393441,0.59073359073359077,0.71590909090909094,0,0,0,0,0.090909090909090912
