,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0.48863636363636365,0.65822784810126578,0.49606299212598426,0.7103825136612022,0.49612403100775193,0.73863636363636365,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7214,0.49242424242424243,0.66455696202531644,0.49606299212598426,0.71584699453551914,0.49612403100775193,0.74431818181818177,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7215,0.49242424242424243,0.67088607594936711,0.49606299212598426,0.72131147540983609,0.49612403100775193,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7216,0.49621212121212122,0.67088607594936711,0.49606299212598426,0.72131147540983609,0.49612403100775193,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7217,0.49621212121212122,0.67088607594936711,0.49606299212598426,0.72131147540983609,0.49612403100775193,0.75,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7218,0.49621212121212122,0.67088607594936711,0.49606299212598426,0.7103825136612022,0.50387596899224807,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7219,0.51515151515151514,0.65189873417721522,0.49606299212598426,0.7103825136612022,0.50387596899224807,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7220,0.49621212121212122,0.65189873417721522,0.49606299212598426,0.69945355191256831,0.50775193798449614,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7221,0.5,0.65189873417721522,0.49606299212598426,0.69398907103825136,0.51550387596899228,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7222,0.51515151515151514,0.63291139240506333,0.49606299212598426,0.69398907103825136,0.51550387596899228,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7223,0.51515151515151514,0.63291139240506333,0.49606299212598426,0.69398907103825136,0.52325581395348841,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7224,0.52272727272727271,0.63291139240506333,0.5,0.69398907103825136,0.55813953488372092,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7225,0.53030303030303028,0.60759493670886078,0.51181102362204722,0.69398907103825136,0.55813953488372092,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7226,0.54166666666666663,0.569620253164557,0.52362204724409445,0.644808743169399,0.55813953488372092,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7227,0.5757575757575758,0.55696202531645567,0.55905511811023623,0.63387978142076506,0.57751937984496127,0.72159090909090906,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7228,0.5757575757575758,0.55696202531645567,0.562992125984252,0.62295081967213117,0.58914728682170547,0.67045454545454541,0,0,0,0,0.090909090909090912
