,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,325,324,288,311,354,311,1,0,0,1,144
capture_2020_04_17_11_39_49_7214,325,324,288,311,354,311,1,0,0,1,144
capture_2020_04_17_11_39_49_7215,325,325,288,312,355,312,1,0,0,1,144
capture_2020_04_17_11_39_49_7216,326,325,288,312,355,312,1,0,0,1,144
capture_2020_04_17_11_39_49_7217,326,325,288,312,355,312,0,0,0,0,144
capture_2020_04_17_11_39_49_7218,326,325,288,310,357,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,328,322,288,310,357,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7220,326,322,288,308,358,308,0,0,0,0,144
capture_2020_04_17_11_39_49_7221,327,322,288,307,360,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7222,328,318,289,305,360,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,329,316,291,304,362,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,333,316,292,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,335,315,295,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,338,309,298,298,369,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,345,307,305,296,376,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,347,307,308,294,379,298,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,351,307,312,294,384,298,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,352,307,314,294,384,298,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,354,307,314,294,384,298,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,354,307,320,293,384,298,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,354,307,320,294,384,299,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,354,307,320,296,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7235,352,307,313,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7236,352,317,312,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7237,350,319,311,304,379,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7238,347,317,308,304,376,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7239,342,316,307,305,374,308,0,0,0,0,135
capture_2020_04_17_11_39_49_7240,339,316,304,308,369,310,0,0,0,0,135
capture_2020_04_17_11_39_49_7241,339,323,304,308,368,308,0,0,0,0,135
capture_2020_04_17_11_39_49_7242,336,319,298,306,368,307,0,0,0,0,135
capture_2020_04_17_11_39_49_7243,335,322,304,305,368,304,0,0,0,0,135
capture_2020_04_17_11_39_49_7244,335,322,298,305,368,304,0,0,0,0,135
capture_2020_04_17_11_39_49_7245,333,323,298,305,368,304,0,0,0,0,135
capture_2020_04_17_11_39_49_7246,334,324,296,306,368,305,0,0,0,0,135
capture_2020_04_17_11_39_49_7247,335,325,298,308,368,307,0,0,0,0,135
