,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y),,,,,
capture_2020_04_17_11_39_49_7213,254,220,288,316,359,316,1,0,0,1,233
capture_2020_04_17_11_39_49_7214,254,220,288,316,359,316,1,0,0,1,233
capture_2020_04_17_11_39_49_7215,254,220,288,316,359,316,1,0,0,1,233
capture_2020_04_17_11_39_49_7216,254,220,288,316,359,316,1,0,0,1,233
capture_2020_04_17_11_39_49_7217,254,220,288,316,359,316,0,0,0,0,233
capture_2020_04_17_11_39_49_7218,253,220,289,314,361,313,0,0,0,0,233
capture_2020_04_17_11_39_49_7219,253,217,289,314,361,313,0,0,0,0,233
capture_2020_04_17_11_39_49_7220,253,217,291,312,362,312,0,0,0,0,233
capture_2020_04_17_11_39_49_7221,253,217,292,311,364,311,0,0,0,0,233
capture_2020_04_17_11_39_49_7222,256,213,293,309,364,309,0,0,0,0,233
capture_2020_04_17_11_39_49_7223,258,210,295,308,366,308,0,0,0,0,233
capture_2020_04_17_11_39_49_7224,261,208,296,306,368,306,0,0,0,0,233
capture_2020_04_17_11_39_49_7225,263,204,299,304,370,305,0,0,0,0,233
capture_2020_04_17_11_39_49_7226,266,202,302,302,373,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7227,272,202,309,300,380,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7228,275,202,312,298,383,302,0,0,0,0,233
capture_2020_04_17_11_39_49_7229,279,202,316,298,387,302,0,0,0,0,233
capture_2020_04_17_11_39_49_7230,280,202,318,298,387,302,0,0,0,0,233
capture_2020_04_17_11_39_49_7231,282,202,318,298,387,302,0,0,0,0,233
capture_2020_04_17_11_39_49_7232,282,202,320,297,388,302,0,0,0,0,233
capture_2020_04_17_11_39_49_7233,282,202,320,298,387,303,0,0,0,0,233
capture_2020_04_17_11_39_49_7234,282,202,320,300,387,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7235,280,202,317,304,385,307,0,0,0,0,233
capture_2020_04_17_11_39_49_7236,279,202,316,305,384,308,0,0,0,0,233
capture_2020_04_17_11_39_49_7237,277,202,315,306,383,309,0,0,0,0,233
capture_2020_04_17_11_39_49_7238,275,202,312,308,380,311,0,0,0,0,233
capture_2020_04_17_11_39_49_7239,275,215,311,309,378,312,0,0,0,0,224
capture_2020_04_17_11_39_49_7240,273,215,308,312,373,314,0,0,0,0,224
capture_2020_04_17_11_39_49_7241,270,215,305,312,372,312,0,0,0,0,224
capture_2020_04_17_11_39_49_7242,268,215,302,310,369,311,0,0,0,0,224
capture_2020_04_17_11_39_49_7243,268,215,304,309,368,308,0,0,0,0,224
capture_2020_04_17_11_39_49_7244,265,215,302,309,369,308,0,0,0,0,224
capture_2020_04_17_11_39_49_7245,267,215,302,309,368,308,0,0,0,0,224
capture_2020_04_17_11_39_49_7246,268,215,300,310,368,309,0,0,0,0,224
capture_2020_04_17_11_39_49_7247,268,215,302,312,369,311,0,0,0,0,224
capture_2020_04_17_11_39_49_7248,270,216,304,313,372,312,0,0,0,0,218
capture_2020_04_17_11_39_49_7249,274,216,306,314,374,314,0,0,0,0,218
capture_2020_04_17_11_39_49_7250,275,221,306,314,374,314,0,0,0,0,218
capture_2020_04_17_11_39_49_7251,275,221,309,314,377,314,0,0,0,0,224
capture_2020_04_17_11_39_49_7252,275,221,309,314,377,314,0,0,0,0,224
capture_2020_04_17_11_39_49_7253,275,221,309,314,377,314,0,0,0,0,224
capture_2020_04_17_11_39_49_7254,275,221,309,314,379,314,0,0,0,0,224
capture_2020_04_17_11_39_49_7255,278,222,309,316,378,316,0,0,0,0,224
capture_2020_04_17_11_39_49_7256,278,222,311,316,380,317,0,0,0,0,224
capture_2020_04_17_11_39_49_7257,278,222,310,317,378,316,0,0,0,0,224
capture_2020_04_17_11_39_49_7258,278,222,310,317,378,316,0,0,0,0,224
capture_2020_04_17_11_39_49_7259,278,222,310,317,378,316,0,0,0,0,224
capture_2020_04_17_11_39_49_7260,276,225,310,317,378,316,0,0,0,0,230
capture_2020_04_17_11_39_49_7261,276,225,310,317,378,316,0,0,0,0,230
capture_2020_04_17_11_39_49_7262,276,225,310,314,381,314,0,0,0,0,230
capture_2020_04_17_11_39_49_7263,276,225,311,313,380,313,0,0,0,0,230
capture_2020_04_17_11_39_49_7264,275,217,311,312,382,311,0,0,0,0,236
capture_2020_04_17_11_39_49_7265,275,215,311,312,382,311,0,0,0,0,236
capture_2020_04_17_11_39_49_7266,275,215,311,312,382,311,0,0,0,0,236
capture_2020_04_17_11_39_49_7267,280,213,314,311,385,309,0,0,0,0,236
capture_2020_04_17_11_39_49_7268,280,209,316,309,388,308,0,0,0,0,236
capture_2020_04_17_11_39_49_7269,280,206,315,309,389,308,0,0,0,0,239
capture_2020_04_17_11_39_49_7270,280,206,317,309,391,308,0,0,0,0,245
capture_2020_04_17_11_39_49_7271,280,206,318,307,392,307,0,0,0,0,248
capture_2020_04_17_11_39_49_7272,284,208,320,306,395,307,0,0,0,0,248
capture_2020_04_17_11_39_49_7273,284,208,320,306,395,307,0,0,0,0,248
capture_2020_04_17_11_39_49_7274,284,201,321,304,397,304,0,0,0,0,248
capture_2020_04_17_11_39_49_7275,284,201,321,303,395,303,0,0,0,0,248
capture_2020_04_17_11_39_49_7276,284,201,318,301,397,302,0,0,0,0,248
capture_2020_04_17_11_39_49_7277,284,201,320,299,397,300,0,0,0,0,248
capture_2020_04_17_11_39_49_7278,284,197,318,298,396,299,0,0,0,0,248
capture_2020_04_17_11_39_49_7279,280,192,318,295,396,297,0,0,0,0,251
capture_2020_04_17_11_39_49_7280,280,192,316,294,395,296,0,0,0,0,251
capture_2020_04_17_11_39_49_7281,275,187,313,293,395,296,0,0,0,0,257
capture_2020_04_17_11_39_49_7282,274,189,311,292,391,294,0,0,0,0,251
capture_2020_04_17_11_39_49_7283,271,179,311,291,393,293,0,0,0,0,263
capture_2020_04_17_11_39_49_7284,268,179,307,290,391,293,0,0,0,0,266
