,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,368,392,288,314,357,314,1,0,0,1,233
capture_2020_04_17_11_39_49_7214,368,392,288,314,357,314,1,0,0,1,233
capture_2020_04_17_11_39_49_7215,368,392,288,314,357,314,1,0,0,1,233
capture_2020_04_17_11_39_49_7216,368,392,288,314,357,314,1,0,0,1,233
capture_2020_04_17_11_39_49_7217,368,392,288,314,357,314,0,0,0,0,233
capture_2020_04_17_11_39_49_7218,367,392,288,312,359,311,0,0,0,0,233
capture_2020_04_17_11_39_49_7219,367,389,288,312,359,311,0,0,0,0,233
capture_2020_04_17_11_39_49_7220,367,389,289,310,360,310,0,0,0,0,233
capture_2020_04_17_11_39_49_7221,367,389,290,309,362,309,0,0,0,0,233
capture_2020_04_17_11_39_49_7222,372,385,291,307,362,307,0,0,0,0,233
capture_2020_04_17_11_39_49_7223,372,382,293,306,364,306,0,0,0,0,233
capture_2020_04_17_11_39_49_7224,375,382,294,304,368,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7225,377,376,297,304,368,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7226,380,374,300,300,371,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7227,388,374,307,298,378,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7228,389,374,310,296,381,300,0,0,0,0,233
capture_2020_04_17_11_39_49_7229,393,374,314,296,385,300,0,0,0,0,233
capture_2020_04_17_11_39_49_7230,394,374,316,296,385,300,0,0,0,0,233
capture_2020_04_17_11_39_49_7231,396,374,316,296,385,300,0,0,0,0,233
capture_2020_04_17_11_39_49_7232,396,374,320,295,386,300,0,0,0,0,233
capture_2020_04_17_11_39_49_7233,396,374,320,296,385,301,0,0,0,0,233
capture_2020_04_17_11_39_49_7234,396,374,320,298,385,304,0,0,0,0,233
capture_2020_04_17_11_39_49_7235,394,374,315,304,384,305,0,0,0,0,233
capture_2020_04_17_11_39_49_7236,393,374,314,304,384,306,0,0,0,0,233
capture_2020_04_17_11_39_49_7237,391,374,313,304,381,307,0,0,0,0,233
capture_2020_04_17_11_39_49_7238,389,374,310,306,378,309,0,0,0,0,233
capture_2020_04_17_11_39_49_7239,385,381,309,307,376,310,0,0,0,0,224
capture_2020_04_17_11_39_49_7240,384,381,306,310,371,312,0,0,0,0,224
capture_2020_04_17_11_39_49_7241,380,381,304,310,370,310,0,0,0,0,224
capture_2020_04_17_11_39_49_7242,378,381,300,308,368,309,0,0,0,0,224
capture_2020_04_17_11_39_49_7243,378,381,304,307,368,306,0,0,0,0,224
capture_2020_04_17_11_39_49_7244,375,381,300,307,368,306,0,0,0,0,224
capture_2020_04_17_11_39_49_7245,377,381,300,307,368,306,0,0,0,0,224
capture_2020_04_17_11_39_49_7246,378,381,298,308,368,307,0,0,0,0,224
capture_2020_04_17_11_39_49_7247,378,381,300,310,368,309,0,0,0,0,224
capture_2020_04_17_11_39_49_7248,377,377,304,311,370,310,0,0,0,0,218
capture_2020_04_17_11_39_49_7249,381,377,304,312,372,312,0,0,0,0,218
capture_2020_04_17_11_39_49_7250,382,382,304,312,372,312,0,0,0,0,218
capture_2020_04_17_11_39_49_7251,385,387,307,312,375,312,0,0,0,0,224
capture_2020_04_17_11_39_49_7252,385,387,307,312,375,312,0,0,0,0,224
capture_2020_04_17_11_39_49_7253,385,387,307,312,375,312,0,0,0,0,224
