,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_47_39_1000,0.4941860465116279,0.44318181818181818,0.55823293172690758,0.51388888888888884,0.6278195488721805,0.52112676056338025,0,0,0,0,0.449438202247191
capture_2020_04_17_11_47_39_1001,0.51744186046511631,0.44318181818181818,0.55823293172690758,0.51388888888888884,0.63533834586466165,0.52112676056338025,0,0,0,0,0.449438202247191
capture_2020_04_17_11_47_39_1002,0.52325581395348841,0.43181818181818182,0.570281124497992,0.51388888888888884,0.64661654135338342,0.52112676056338025,0,0,0,0,0.43820224719101125
capture_2020_04_17_11_47_39_1003,0.52325581395348841,0.43181818181818182,0.570281124497992,0.51388888888888884,0.64661654135338342,0.52112676056338025,0,0,0,0,0.43820224719101125
capture_2020_04_17_11_47_39_1004,0.52325581395348841,0.56818181818181823,0.570281124497992,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1005,0.52325581395348841,0.56818181818181823,0.570281124497992,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1006,0.53488372093023251,0.56818181818181823,0.570281124497992,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1007,0.53488372093023251,0.56818181818181823,0.570281124497992,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1008,0.53488372093023251,0.56818181818181823,0.570281124497992,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1009,0.53488372093023251,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1010,0.53488372093023251,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1011,0.53488372093023251,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1012,0.53488372093023251,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1013,0.53488372093023251,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.65413533834586468,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1014,0.51744186046511631,0.56818181818181823,0.58634538152610438,0.51388888888888884,0.64661654135338342,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1015,0.51744186046511631,0.56818181818181823,0.56224899598393574,0.51388888888888884,0.64661654135338342,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1016,0.51744186046511631,0.56818181818181823,0.56224899598393574,0.51388888888888884,0.64661654135338342,0.528169014084507,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1017,0.51744186046511631,0.56818181818181823,0.56224899598393574,0.50694444444444442,0.64661654135338342,0.50704225352112675,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1018,0.51744186046511631,0.56818181818181823,0.56224899598393574,0.50694444444444442,0.6428571428571429,0.50704225352112675,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1019,0.5,0.56818181818181823,0.56224899598393574,0.50694444444444442,0.631578947368421,0.50704225352112675,0,0,0,0,0.4157303370786517
capture_2020_04_17_11_47_39_1020,0.5,0.56818181818181823,0.56224899598393574,0.50694444444444442,0.631578947368421,0.50704225352112675,0,0,1,0,0.4157303370786517
capture_2020_04_17_11_47_39_1021,0.5,0.56818181818181823,0.56224899598393574,0.47916666666666669,0.62030075187969924,0.47887323943661969,0,0,1,0,0.4157303370786517
