,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,328,326,294,320,364,320,0,0,0,0,144
capture_2020_04_17_11_39_49_7214,0,332,332,294,320,364,320,0,0,0,0,144
capture_2020_04_17_11_39_49_7215,0,328,326,294,320,364,320,0,0,0,0,144
capture_2020_04_17_11_39_49_7216,0,328,335,294,320,364,320,0,0,0,0,144
capture_2020_04_17_11_39_49_7217,0,330,328,293,318,365,318,0,0,0,0,144
capture_2020_04_17_11_39_49_7218,0,328,330,293,318,365,318,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,0,328,320,293,320,363,320,0,0,0,0,144
capture_2020_04_17_11_39_49_7220,0,330,328,293,317,366,316,0,0,0,0,160
capture_2020_04_17_11_39_49_7221,0,332,324,295,315,367,314,0,0,0,0,160
capture_2020_04_17_11_39_49_7222,0,333,323,296,313,368,312,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,0,335,316,297,311,368,311,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,0,338,319,300,309,368,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,0,340,316,303,304,374,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,0,344,316,304,304,377,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,0,348,312,313,302,382,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,0,351,309,313,302,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,0,356,310,320,302,389,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,0,356,307,320,302,389,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,0,358,308,320,302,389,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,0,358,319,320,302,391,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,0,358,316,320,302,391,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,0,358,321,320,304,391,308,0,0,0,0,144
