,noFace,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),,,,,
capture_2020_04_17_11_39_49_7213,0,0.360110803,0.664556962,0.363112392,0.717391304,0.342245989,0.75,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7214,0,0.360110803,0.664556962,0.363112392,0.717391304,0.342245989,0.75,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7215,0,0.362880886,0.67721519,0.363112392,0.72826087,0.342245989,0.761363636,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7216,0,0.36565097,0.67721519,0.363112392,0.72826087,0.342245989,0.761363636,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7217,0,0.36565097,0.67721519,0.363112392,0.72826087,0.342245989,0.761363636,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7218,0,0.36565097,0.67721519,0.363112392,0.717391304,0.35026738,0.744318182,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7219,0,0.376731302,0.658227848,0.363112392,0.717391304,0.35026738,0.744318182,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7220,0,0.36565097,0.658227848,0.363112392,0.695652174,0.352941176,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7221,0,0.368421053,0.658227848,0.363112392,0.695652174,0.35828877,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7222,0,0.376731302,0.632911392,0.363112392,0.695652174,0.35828877,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7223,0,0.376731302,0.632911392,0.363112392,0.695652174,0.363636364,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7224,0,0.385041551,0.632911392,0.363112392,0.695652174,0.385026738,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7225,0,0.390581717,0.613924051,0.377521614,0.695652174,0.385026738,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7226,0,0.398891967,0.575949367,0.386167147,0.652173913,0.385026738,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7227,0,0.421052632,0.563291139,0.409221902,0.641304348,0.401069519,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7228,0,0.421052632,0.563291139,0.409221902,0.630434783,0.409090909,0.681818182,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7229,0,0.432132964,0.556962025,0.423631124,0.625,0.427807487,0.676136364,0,0,0,0,0.090909091
