,noFace,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),,,,,
capture_2020_04_17_11_39_49_7213,0,322,321,288,308,352,308,1,0,0,1,144
capture_2020_04_17_11_39_49_7214,0,322,321,288,308,352,308,1,0,0,1,144
capture_2020_04_17_11_39_49_7215,0,323,323,288,310,352,310,1,0,0,1,144
capture_2020_04_17_11_39_49_7216,0,324,323,288,310,352,310,1,0,0,1,144
capture_2020_04_17_11_39_49_7217,0,324,323,288,310,352,310,0,0,0,0,144
capture_2020_04_17_11_39_49_7218,0,324,323,288,308,355,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,0,328,320,288,308,355,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7220,0,324,320,288,304,356,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7221,0,325,320,288,304,358,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7222,0,328,316,288,304,358,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,0,328,316,288,304,360,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,0,331,316,288,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,0,333,313,293,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,0,336,307,296,296,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,0,344,305,304,294,374,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,0,344,305,304,292,377,296,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,0,348,304,309,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,0,349,304,311,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,0,351,304,311,291,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,0,351,304,320,290,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,0,351,304,320,291,384,296,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,0,351,304,320,293,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7235,0,349,304,310,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7236,0,349,316,309,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7237,0,347,316,308,304,376,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7238,0,344,316,304,304,373,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7239,0,339,316,304,304,371,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7240,0,339,316,304,304,368,307,0,0,0,0,134
capture_2020_04_17_11_39_49_7241,0,339,323,304,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7242,0,333,319,295,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7243,0,332,322,304,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7244,0,333,323,296,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7245,0,331,324,296,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7246,0,332,328,294,304,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7247,0,333,328,296,306,368,304,0,0,0,0,134
capture_2020_04_17_11_39_49_7248,0,336,320,304,307,368,306,0,0,0,0,128
capture_2020_04_17_11_39_49_7249,0,336,323,304,308,368,308,0,0,0,0,128
capture_2020_04_17_11_39_49_7250,0,336,326,304,308,368,308,0,0,0,0,128
capture_2020_04_17_11_39_49_7251,0,339,332,304,308,371,308,0,0,0,0,134
capture_2020_04_17_11_39_49_7252,0,342,333,304,308,371,308,0,0,0,0,134
capture_2020_04_17_11_39_49_7253,0,343,328,304,308,371,308,0,0,0,0,134
capture_2020_04_17_11_39_49_7254,0,342,331,304,308,373,308,0,0,0,0,134
capture_2020_04_17_11_39_49_7255,0,344,334,304,310,372,310,0,0,0,0,134
capture_2020_04_17_11_39_49_7256,0,343,332,304,310,374,311,0,0,0,0,134
capture_2020_04_17_11_39_49_7257,0,344,337,304,311,372,310,0,0,0,0,134
capture_2020_04_17_11_39_49_7258,0,342,334,304,311,372,310,0,0,0,0,134
capture_2020_04_17_11_39_49_7259,0,342,337,304,311,372,310,0,0,0,0,134
capture_2020_04_17_11_39_49_7260,0,346,339,304,311,372,310,0,0,0,0,144
capture_2020_04_17_11_39_49_7261,0,344,337,304,311,372,310,0,0,0,0,144
capture_2020_04_17_11_39_49_7262,0,347,335,304,308,375,308,0,0,0,0,144
capture_2020_04_17_11_39_49_7263,0,349,334,304,307,374,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7264,0,348,332,304,306,376,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7265,0,347,326,304,306,376,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7266,0,349,326,304,306,376,304,0,0,0,0,144
