,noFace,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,1,321,320,288,307,352,307,1,0,0,1,144
capture_2020_04_17_11_39_49_7214,1,321,320,288,307,352,307,1,0,0,1,144
capture_2020_04_17_11_39_49_7215,1,322,322,288,309,352,309,1,0,0,1,144
capture_2020_04_17_11_39_49_7216,1,323,322,288,309,352,309,1,0,0,1,144
capture_2020_04_17_11_39_49_7217,1,323,322,288,309,352,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7218,0,323,322,288,307,354,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,1,328,319,288,307,354,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7220,0,323,319,288,304,355,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7221,0,324,319,288,304,357,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7222,0,328,316,288,304,357,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,0,328,316,288,304,359,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,0,330,316,288,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,0,332,312,292,304,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,0,335,306,295,295,368,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,0,344,304,304,293,373,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,0,344,304,304,291,376,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,0,347,303,308,290,384,294,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,0,348,303,310,290,384,294,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,0,350,303,310,290,384,294,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,0,350,303,320,289,384,294,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,0,350,303,320,290,384,295,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,0,350,303,320,292,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7235,0,348,303,309,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7236,0,348,316,308,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7237,0,346,316,307,304,375,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7238,0,344,316,304,304,372,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7239,0,338,313,304,304,370,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7240,0,338,313,304,304,368,306,0,0,0,0,132
capture_2020_04_17_11_39_49_7241,0,338,320,304,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7242,0,331,316,294,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7243,0,330,319,304,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7244,0,331,320,295,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7245,0,329,321,295,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7246,0,330,325,293,304,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7247,0,331,325,295,305,368,304,0,0,0,0,132
capture_2020_04_17_11_39_49_7248,0,336,320,304,306,368,305,0,0,0,0,128
capture_2020_04_17_11_39_49_7249,0,336,322,304,307,368,307,0,0,0,0,128
capture_2020_04_17_11_39_49_7250,0,336,325,304,307,368,307,0,0,0,0,128
capture_2020_04_17_11_39_49_7251,0,338,329,304,307,370,307,0,0,0,0,132
capture_2020_04_17_11_39_49_7252,0,340,330,304,307,370,307,0,0,0,0,132
capture_2020_04_17_11_39_49_7253,0,341,325,304,307,370,307,0,0,0,0,132
capture_2020_04_17_11_39_49_7254,0,340,328,304,307,372,307,0,0,0,0,132
capture_2020_04_17_11_39_49_7255,0,342,331,304,309,371,309,0,0,0,0,132
capture_2020_04_17_11_39_49_7256,0,341,329,304,309,373,310,0,0,0,0,132
capture_2020_04_17_11_39_49_7257,0,342,334,304,310,371,309,0,0,0,0,132
capture_2020_04_17_11_39_49_7258,0,340,331,304,310,371,309,0,0,0,0,132
capture_2020_04_17_11_39_49_7259,0,340,334,304,310,371,309,0,0,0,0,132
capture_2020_04_17_11_39_49_7260,0,345,338,304,310,371,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7261,0,344,336,304,310,371,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7262,0,346,334,304,307,374,307,0,0,0,0,144
capture_2020_04_17_11_39_49_7263,0,348,333,304,306,373,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7264,0,347,332,304,305,375,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7265,0,346,325,304,305,375,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7266,0,348,325,304,305,375,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7267,0,349,320,307,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7268,0,348,316,309,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7269,0,349,316,308,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7270,0,349,322,310,304,384,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7271,0,351,323,311,304,385,304,0,0,0,0,148
capture_2020_04_17_11_39_49_7272,0,353,321,320,304,388,304,0,0,0,0,148
capture_2020_04_17_11_39_49_7273,0,353,321,320,304,388,304,0,0,0,0,148
capture_2020_04_17_11_39_49_7274,0,353,321,320,304,390,304,0,0,0,0,148
capture_2020_04_17_11_39_49_7275,0,353,321,320,296,388,296,0,0,0,0,148
capture_2020_04_17_11_39_49_7276,0,351,321,311,294,390,295,0,0,0,0,148
capture_2020_04_17_11_39_49_7277,0,353,317,320,292,390,293,0,0,0,0,148
capture_2020_04_17_11_39_49_7278,0,352,314,311,291,389,292,0,0,0,0,148
capture_2020_04_17_11_39_49_7279,0,356,317,311,288,389,290,0,0,0,0,160
capture_2020_04_17_11_39_49_7280,0,355,317,309,288,388,289,0,0,0,0,160
capture_2020_04_17_11_39_49_7281,0,354,317,306,288,388,289,0,0,0,0,160
capture_2020_04_17_11_39_49_7282,0,352,320,304,288,384,288,0,0,0,0,160
capture_2020_04_17_11_39_49_7283,0,352,312,304,288,386,288,0,0,0,0,160
capture_2020_04_17_11_39_49_7284,0,347,305,304,288,384,288,0,0,0,0,160
capture_2020_04_17_11_39_49_7285,0,343,299,304,288,384,288,0,0,0,0,160
capture_2020_04_17_11_39_49_7286,0,343,296,304,288,384,288,0,0,0,0,160
capture_2020_04_17_11_39_49_7287,0,341,296,304,279,384,280,0,0,0,0,160
capture_2020_04_17_11_39_49_7288,0,338,296,293,277,384,277,0,0,0,0,160
capture_2020_04_17_11_39_49_7289,0,345,300,291,274,384,275,0,0,0,0,176
capture_2020_04_17_11_39_49_7290,0,344,295,289,272,384,272,0,0,0,0,176
capture_2020_04_17_11_39_49_7291,0,344,297,290,272,384,272,0,0,0,0,176
capture_2020_04_17_11_39_49_7292,0,346,295,288,272,384,264,0,0,0,0,192
