,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0.48669201520912547,0.65822784810126578,0.49803921568627452,0.7103825136612022,0.49805447470817121,0.73863636363636365,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7214,0.49049429657794674,0.66455696202531644,0.49803921568627452,0.71584699453551914,0.49805447470817121,0.74431818181818177,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7215,0.49049429657794674,0.67088607594936711,0.49803921568627452,0.72131147540983609,0.49805447470817121,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7216,0.49429657794676807,0.67088607594936711,0.49803921568627452,0.72131147540983609,0.49805447470817121,0.75,1,0,0,1,0.090909090909090912
capture_2020_04_17_11_39_49_7217,0.49429657794676807,0.67088607594936711,0.49803921568627452,0.72131147540983609,0.49805447470817121,0.75,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7218,0.49429657794676807,0.67088607594936711,0.49803921568627452,0.7103825136612022,0.50194552529182879,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7219,0.5171102661596958,0.65189873417721522,0.49803921568627452,0.7103825136612022,0.50194552529182879,0.73295454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7220,0.49429657794676807,0.65189873417721522,0.49803921568627452,0.69945355191256831,0.50583657587548636,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7221,0.49809885931558934,0.65189873417721522,0.49803921568627452,0.69945355191256831,0.51361867704280151,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7222,0.5171102661596958,0.63924050632911389,0.49803921568627452,0.69945355191256831,0.51361867704280151,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7223,0.5171102661596958,0.63924050632911389,0.49803921568627452,0.69945355191256831,0.52140077821011677,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7224,0.52091254752851712,0.63924050632911389,0.49803921568627452,0.69945355191256831,0.56031128404669261,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7225,0.52851711026615966,0.60759493670886078,0.50980392156862742,0.69945355191256831,0.56031128404669261,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7226,0.53992395437262353,0.569620253164557,0.52156862745098043,0.644808743169399,0.56031128404669261,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7227,0.57794676806083645,0.55696202531645567,0.5607843137254902,0.63387978142076506,0.57587548638132291,0.72727272727272729,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7228,0.57794676806083645,0.55696202531645567,0.5607843137254902,0.62295081967213117,0.58754863813229574,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7229,0.58935361216730042,0.55696202531645567,0.57647058823529407,0.62295081967213117,0.622568093385214,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7230,0.59315589353612164,0.55696202531645567,0.58431372549019611,0.62295081967213117,0.622568093385214,0.67045454545454541,0,0,0,0,0.090909090909090912
capture_2020_04_17_11_39_49_7231,0.60076045627376429,0.55696202531645567,0.58431372549019611,0.62295081967213117,0.622568093385214,0.67045454545454541,0,0,0,0,0.090909090909090912
