,noFace,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,332,356,290,317,360,317,0,0,0,0,142
capture_2020_04_17_11_39_49_7214,0,332,356,290,317,360,317,0,0,0,0,142
capture_2020_04_17_11_39_49_7215,0,332,356,290,317,360,317,0,0,0,0,142
capture_2020_04_17_11_39_49_7216,0,332,356,290,317,360,317,0,0,0,0,142
capture_2020_04_17_11_39_49_7217,0,332,356,290,315,362,315,0,0,0,0,142
capture_2020_04_17_11_39_49_7218,0,333,357,290,315,362,315,0,0,0,0,144
capture_2020_04_17_11_39_49_7219,0,335,349,290,317,360,317,0,0,0,0,142
capture_2020_04_17_11_39_49_7220,0,334,347,290,314,363,313,0,0,0,0,155
capture_2020_04_17_11_39_49_7221,0,334,347,292,312,364,311,0,0,0,0,155
capture_2020_04_17_11_39_49_7222,0,338,345,293,310,365,309,0,0,0,0,144
capture_2020_04_17_11_39_49_7223,0,337,343,294,308,367,308,0,0,0,0,144
capture_2020_04_17_11_39_49_7224,0,341,341,297,306,368,306,0,0,0,0,144
capture_2020_04_17_11_39_49_7225,0,343,341,300,304,371,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7226,0,346,339,303,303,374,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7227,0,353,336,310,299,379,304,0,0,0,0,144
capture_2020_04_17_11_39_49_7228,0,354,336,310,299,384,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7229,0,359,336,317,299,386,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7230,0,359,336,317,299,386,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7231,0,360,336,319,299,386,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7232,0,360,336,320,299,388,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7233,0,360,336,320,299,388,303,0,0,0,0,144
capture_2020_04_17_11_39_49_7234,0,360,336,320,301,388,305,0,0,0,0,144
capture_2020_04_17_11_39_49_7235,0,359,347,319,305,386,310,0,0,0,0,140
capture_2020_04_17_11_39_49_7236,0,359,347,319,305,386,310,0,0,0,0,140
capture_2020_04_17_11_39_49_7237,0,359,347,319,305,386,310,0,0,0,0,140
capture_2020_04_17_11_39_49_7238,0,353,347,313,310,379,312,0,0,0,0,140
capture_2020_04_17_11_39_49_7239,0,353,347,311,310,378,312,0,0,0,0,140
capture_2020_04_17_11_39_49_7240,0,348,347,307,313,374,316,0,0,0,0,140
capture_2020_04_17_11_39_49_7241,0,343,337,306,313,373,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7242,0,342,337,303,312,370,312,0,0,0,0,128
capture_2020_04_17_11_39_49_7243,0,340,337,303,312,370,312,0,0,0,0,128
capture_2020_04_17_11_39_49_7244,0,338,337,303,310,368,310,0,0,0,0,128
capture_2020_04_17_11_39_49_7245,0,338,337,303,310,368,310,0,0,0,0,128
capture_2020_04_17_11_39_49_7246,0,338,337,303,310,368,310,0,0,0,0,128
capture_2020_04_17_11_39_49_7247,0,340,337,303,313,371,312,0,0,0,0,128
capture_2020_04_17_11_39_49_7248,0,342,337,304,314,372,313,0,0,0,0,128
capture_2020_04_17_11_39_49_7249,0,345,341,307,315,375,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7250,0,345,341,307,315,375,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7251,0,348,341,310,315,378,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7252,0,348,341,311,315,378,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7253,0,348,341,311,315,378,315,0,0,0,0,128
capture_2020_04_17_11_39_49_7254,0,353,352,311,315,378,315,0,0,0,0,138
