,noFace,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),,,,,
capture_2020_04_17_11_39_49_7213,0,326,329,288,313,356,313,1,0,0,1,149
capture_2020_04_17_11_39_49_7214,0,327,330,288,314,357,314,1,0,0,1,149
capture_2020_04_17_11_39_49_7215,0,327,330,288,314,357,314,1,0,0,1,149
capture_2020_04_17_11_39_49_7216,0,327,330,288,314,357,314,1,0,0,1,149
capture_2020_04_17_11_39_49_7217,0,327,330,288,314,357,314,0,0,0,0,149
capture_2020_04_17_11_39_49_7218,0,326,330,288,312,359,311,0,0,0,0,149
capture_2020_04_17_11_39_49_7219,0,326,327,288,312,359,311,0,0,0,0,149
capture_2020_04_17_11_39_49_7220,0,326,327,289,310,360,310,0,0,0,0,149
capture_2020_04_17_11_39_49_7221,0,326,327,290,309,362,309,0,0,0,0,149
capture_2020_04_17_11_39_49_7222,0,331,323,291,307,362,307,0,0,0,0,149
capture_2020_04_17_11_39_49_7223,0,331,320,293,306,364,306,0,0,0,0,149
capture_2020_04_17_11_39_49_7224,0,334,320,294,304,368,304,0,0,0,0,149
capture_2020_04_17_11_39_49_7225,0,336,314,297,304,368,304,0,0,0,0,149
capture_2020_04_17_11_39_49_7226,0,339,312,300,300,371,304,0,0,0,0,149
capture_2020_04_17_11_39_49_7227,0,347,312,307,298,378,304,0,0,0,0,149
capture_2020_04_17_11_39_49_7228,0,348,312,310,296,381,300,0,0,0,0,149
capture_2020_04_17_11_39_49_7229,0,352,312,314,296,385,300,0,0,0,0,149
capture_2020_04_17_11_39_49_7230,0,353,312,316,296,385,300,0,0,0,0,149
capture_2020_04_17_11_39_49_7231,0,355,312,316,296,385,300,0,0,0,0,149
capture_2020_04_17_11_39_49_7232,0,355,312,320,295,386,300,0,0,0,0,149
capture_2020_04_17_11_39_49_7233,0,355,312,320,296,385,301,0,0,0,0,149
capture_2020_04_17_11_39_49_7234,0,355,312,320,298,385,304,0,0,0,0,149
capture_2020_04_17_11_39_49_7235,0,353,312,315,304,384,305,0,0,0,0,149
capture_2020_04_17_11_39_49_7236,0,352,312,314,304,384,306,0,0,0,0,149
capture_2020_04_17_11_39_49_7237,0,350,312,313,304,381,307,0,0,0,0,149
capture_2020_04_17_11_39_49_7238,0,348,312,310,306,378,309,0,0,0,0,149
capture_2020_04_17_11_39_49_7239,0,341,314,309,307,376,310,0,0,0,0,143
capture_2020_04_17_11_39_49_7240,0,340,314,306,310,371,312,0,0,0,0,143
capture_2020_04_17_11_39_49_7241,0,336,314,304,310,370,310,0,0,0,0,143
capture_2020_04_17_11_39_49_7242,0,334,314,300,308,368,309,0,0,0,0,143
capture_2020_04_17_11_39_49_7243,0,334,314,304,307,368,306,0,0,0,0,143
capture_2020_04_17_11_39_49_7244,0,331,314,300,307,368,306,0,0,0,0,143
capture_2020_04_17_11_39_49_7245,0,333,314,300,307,368,306,0,0,0,0,143
capture_2020_04_17_11_39_49_7246,0,334,314,298,308,368,307,0,0,0,0,143
capture_2020_04_17_11_39_49_7247,0,334,314,300,310,368,309,0,0,0,0,143
capture_2020_04_17_11_39_49_7248,0,331,308,304,311,370,310,0,0,0,0,140
capture_2020_04_17_11_39_49_7249,0,335,308,304,312,372,312,0,0,0,0,140
capture_2020_04_17_11_39_49_7250,0,336,313,304,312,372,312,0,0,0,0,140
capture_2020_04_17_11_39_49_7251,0,341,320,307,312,375,312,0,0,0,0,143
capture_2020_04_17_11_39_49_7252,0,341,320,307,312,375,312,0,0,0,0,143
capture_2020_04_17_11_39_49_7253,0,341,320,307,312,375,312,0,0,0,0,143
capture_2020_04_17_11_39_49_7254,0,341,320,307,312,377,312,0,0,0,0,143
capture_2020_04_17_11_39_49_7255,0,344,321,307,314,376,314,0,0,0,0,143
capture_2020_04_17_11_39_49_7256,0,344,321,309,314,378,315,0,0,0,0,143
capture_2020_04_17_11_39_49_7257,0,344,321,308,315,376,314,0,0,0,0,143
capture_2020_04_17_11_39_49_7258,0,344,321,308,315,376,314,0,0,0,0,143
capture_2020_04_17_11_39_49_7259,0,344,321,308,315,376,314,0,0,0,0,143
capture_2020_04_17_11_39_49_7260,0,347,332,308,315,376,314,0,0,0,0,147
capture_2020_04_17_11_39_49_7261,0,347,332,308,315,376,314,0,0,0,0,147
capture_2020_04_17_11_39_49_7262,0,347,332,308,312,379,312,0,0,0,0,147
capture_2020_04_17_11_39_49_7263,0,347,332,309,311,378,311,0,0,0,0,147
capture_2020_04_17_11_39_49_7264,0,351,331,309,310,380,309,0,0,0,0,151
capture_2020_04_17_11_39_49_7265,0,351,329,309,310,380,309,0,0,0,0,151
capture_2020_04_17_11_39_49_7266,0,351,329,309,310,380,309,0,0,0,0,151
capture_2020_04_17_11_39_49_7267,0,356,327,312,309,384,307,0,0,0,0,151
capture_2020_04_17_11_39_49_7268,0,356,324,314,307,386,306,0,0,0,0,151
capture_2020_04_17_11_39_49_7269,0,358,323,313,307,387,306,0,0,0,0,153
capture_2020_04_17_11_39_49_7270,0,363,331,315,307,389,306,0,0,0,0,157
capture_2020_04_17_11_39_49_7271,0,366,335,316,305,390,305,0,0,0,0,159
capture_2020_04_17_11_39_49_7272,0,370,339,320,304,393,305,0,0,0,0,159
capture_2020_04_17_11_39_49_7273,0,370,339,320,304,393,305,0,0,0,0,159
capture_2020_04_17_11_39_49_7274,0,370,330,320,304,395,304,0,0,0,0,159
capture_2020_04_17_11_39_49_7275,0,370,330,320,301,393,301,0,0,0,0,159
capture_2020_04_17_11_39_49_7276,0,370,330,316,299,395,300,0,0,0,0,159
capture_2020_04_17_11_39_49_7277,0,370,330,320,297,395,298,0,0,0,0,159
capture_2020_04_17_11_39_49_7278,0,370,326,316,296,394,297,0,0,0,0,159
capture_2020_04_17_11_39_49_7279,0,368,326,316,293,394,295,0,0,0,0,161
capture_2020_04_17_11_39_49_7280,0,368,326,314,292,393,294,0,0,0,0,161
