,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0.51102941176470584,0.50724637681159424,0.48031496062992124,0.72131147540983609,0.50191570881226055,0.75,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7214,0.51470588235294112,0.51449275362318836,0.48031496062992124,0.726775956284153,0.50574712643678166,0.75568181818181823,1,0,0,1,0.1
capture_2020_04_17_11_39_49_7215,0.51470588235294112,0.51449275362318836,0.48031496062992124,0.726775956284153,0.50574712643678166,0.75568181818181823,1,0,0,1,0.1
capture_2020_04_17_11_39_49_7216,0.51470588235294112,0.51449275362318836,0.48031496062992124,0.726775956284153,0.50574712643678166,0.75568181818181823,1,0,0,1,0.1
capture_2020_04_17_11_39_49_7217,0.51470588235294112,0.51449275362318836,0.48031496062992124,0.726775956284153,0.50574712643678166,0.75568181818181823,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7218,0.51102941176470584,0.51449275362318836,0.48031496062992124,0.71584699453551914,0.51340996168582376,0.73863636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7219,0.51102941176470584,0.49275362318840582,0.48031496062992124,0.71584699453551914,0.51340996168582376,0.73863636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7220,0.51102941176470584,0.49275362318840582,0.484251968503937,0.70491803278688525,0.51724137931034486,0.73295454545454541,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7221,0.51102941176470584,0.49275362318840582,0.48818897637795278,0.69945355191256831,0.524904214559387,0.72727272727272729,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7222,0.52941176470588236,0.463768115942029,0.49212598425196852,0.68852459016393441,0.524904214559387,0.71590909090909094,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7223,0.52941176470588236,0.4420289855072464,0.5,0.68306010928961747,0.53256704980842917,0.71022727272727271,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7224,0.5404411764705882,0.4420289855072464,0.50393700787401574,0.67213114754098358,0.54789272030651337,0.69886363636363635,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7225,0.54779411764705888,0.39855072463768115,0.515748031496063,0.67213114754098358,0.54789272030651337,0.69886363636363635,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7226,0.55882352941176472,0.38405797101449274,0.52755905511811019,0.65027322404371579,0.55938697318007657,0.69886363636363635,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7227,0.58823529411764708,0.38405797101449274,0.55511811023622049,0.639344262295082,0.58620689655172409,0.69886363636363635,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7228,0.59191176470588236,0.38405797101449274,0.56692913385826771,0.62841530054644812,0.5977011494252874,0.67613636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7229,0.60661764705882348,0.38405797101449274,0.58267716535433067,0.62841530054644812,0.6130268199233716,0.67613636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7230,0.61029411764705888,0.38405797101449274,0.59055118110236215,0.62841530054644812,0.6130268199233716,0.67613636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7231,0.61764705882352944,0.38405797101449274,0.59055118110236215,0.62841530054644812,0.6130268199233716,0.67613636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7232,0.61764705882352944,0.38405797101449274,0.60629921259842523,0.62295081967213117,0.61685823754789271,0.67613636363636365,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7233,0.61764705882352944,0.38405797101449274,0.60629921259842523,0.62841530054644812,0.6130268199233716,0.68181818181818177,0,0,0,0,0.1
capture_2020_04_17_11_39_49_7234,0.61764705882352944,0.38405797101449274,0.60629921259842523,0.639344262295082,0.6130268199233716,0.69886363636363635,0,0,0,0,0.1
