,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_47_39_1000,388,280,306,209,387,208,0,0,0,0,251
capture_2020_04_17_11_47_39_1001,392,280,306,209,389,208,0,0,0,0,251
capture_2020_04_17_11_47_39_1002,393,279,309,209,392,208,0,0,0,0,248
capture_2020_04_17_11_47_39_1003,393,279,309,209,392,208,0,0,0,0,248
capture_2020_04_17_11_47_39_1004,393,291,309,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1005,393,291,309,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1006,395,291,309,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1007,395,291,309,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1008,395,291,309,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1009,395,291,313,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1010,395,291,313,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1011,395,291,313,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1012,395,291,313,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1013,395,291,313,209,394,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1014,392,291,313,209,392,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1015,392,291,307,209,392,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1016,392,291,307,209,392,209,0,0,0,0,242
capture_2020_04_17_11_47_39_1017,392,291,307,208,392,206,0,0,0,0,242
capture_2020_04_17_11_47_39_1018,392,291,307,208,391,206,0,0,0,0,242
capture_2020_04_17_11_47_39_1019,389,291,307,208,388,206,0,0,0,0,242
capture_2020_04_17_11_47_39_1020,389,291,307,208,388,206,0,0,1,0,242
capture_2020_04_17_11_47_39_1021,389,291,307,204,385,202,0,0,1,0,242
capture_2020_04_17_11_47_39_1022,389,285,307,200,383,200,0,0,1,0,242
capture_2020_04_17_11_47_39_1023,389,285,307,197,383,197,0,0,1,0,242
capture_2020_04_17_11_47_39_1024,389,285,307,196,383,196,0,0,1,0,242
capture_2020_04_17_11_47_39_1025,387,276,307,194,383,194,0,0,1,0,239
capture_2020_04_17_11_47_39_1026,387,276,307,194,383,194,0,0,1,0,239
capture_2020_04_17_11_47_39_1027,387,276,307,194,383,194,0,0,1,0,239
capture_2020_04_17_11_47_39_1028,387,276,307,194,383,194,0,0,1,0,239
capture_2020_04_17_11_47_39_1029,389,273,307,189,383,188,0,0,1,0,239
capture_2020_04_17_11_47_39_1030,389,273,307,185,383,184,0,0,1,0,239
capture_2020_04_17_11_47_39_1031,389,273,307,181,383,181,0,0,1,0,239
capture_2020_04_17_11_47_39_1032,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1033,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1034,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1035,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1036,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1037,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1038,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1039,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1040,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1041,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1042,389,273,307,179,383,179,0,0,1,0,239
capture_2020_04_17_11_47_39_1043,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1044,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1045,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1046,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1047,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1048,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1049,389,273,307,177,383,177,0,0,1,0,239
capture_2020_04_17_11_47_39_1050,389,268,307,173,383,172,0,0,1,0,239
capture_2020_04_17_11_47_39_1051,389,268,308,169,380,168,0,0,1,0,239
capture_2020_04_17_11_47_39_1052,389,268,308,164,380,166,0,0,1,0,239
