,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213_left,0,25,39,51,57,51,71,14,59,88,53,0,0,0,0,49
capture_2020_04_17_11_39_49_7213_right,0,24,39,49,55,49,69,14,53,90,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7214_left,0,24,39,51,57,51,71,12,57,90,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7214_right,0,24,39,49,55,49,71,12,55,90,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7215_left,0,24,40,49,58,49,73,12,58,90,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7215_right,0,24,37,49,55,49,71,12,55,90,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7216_left,0,24,38,53,56,49,73,10,58,90,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7216_right,0,24,35,47,51,51,71,10,55,90,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7217_left,0,26,33,55,53,53,73,12,59,94,57,0,0,0,0,49
capture_2020_04_17_11_39_49_7217_right,0,26,33,47,51,53,73,12,53,94,55,0,0,0,0,49
capture_2020_04_17_11_39_49_7218_left,0,26,33,54,54,52,73,13,56,94,54,0,0,0,0,48
capture_2020_04_17_11_39_49_7218_right,0,26,33,52,52,52,73,10,54,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7219_left,0,24,33,52,54,52,73,13,58,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7219_right,0,24,33,48,52,52,73,13,58,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7220_left,0,24,33,54,54,52,73,13,58,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7220_right,0,25,33,50,52,52,73,13,56,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7221_left,0,25,33,53,50,53,71,13,54,96,54,0,0,0,0,48
capture_2020_04_17_11_39_49_7221_right,0,25,34,48,55,52,74,13,57,94,57,0,0,0,0,47
capture_2020_04_17_11_39_49_7222_left,0,25,33,52,52,52,73,13,56,94,56,0,0,0,0,48
capture_2020_04_17_11_39_49_7222_right,0,25,34,48,51,52,74,10,55,94,57,0,0,0,0,47
capture_2020_04_17_11_39_49_7223_left,0,25,32,53,51,53,72,11,53,96,55,0,0,0,0,47
capture_2020_04_17_11_39_49_7223_right,0,25,32,49,49,53,72,11,53,96,55,0,0,0,0,47
capture_2020_04_17_11_39_49_7224_left,0,24,30,52,52,52,72,11,54,96,54,0,0,0,0,46
capture_2020_04_17_11_39_49_7224_right,0,25,30,50,51,54,70,13,53,96,53,0,0,0,0,47
capture_2020_04_17_11_39_49_7225_left,0,24,30,52,52,52,72,11,54,96,54,0,0,0,0,46
capture_2020_04_17_11_39_49_7225_right,0,24,30,50,48,52,72,11,54,96,54,0,0,0,0,46
capture_2020_04_17_11_39_49_7226_left,0,24,26,54,48,52,72,11,54,96,54,0,0,0,0,46
capture_2020_04_17_11_39_49_7226_right,0,24,26,46,48,52,72,9,48,96,54,0,0,0,0,46
capture_2020_04_17_11_39_49_7227_left,0,25,22,54,46,52,72,9,48,96,48,0,0,0,0,46
capture_2020_04_17_11_39_49_7227_right,0,21,24,49,50,49,70,11,50,98,59,0,0,0,0,46
capture_2020_04_17_11_39_49_7228_left,0,25,20,54,43,54,70,9,52,93,48,0,0,0,0,46
capture_2020_04_17_11_39_49_7228_right,0,21,26,48,50,50,72,9,52,91,57,0,0,0,0,46
capture_2020_04_17_11_39_49_7229_left,0,27,22,59,46,59,70,9,48,96,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7229_right,0,24,28,51,51,51,72,11,49,96,60,0,0,0,0,47
capture_2020_04_17_11_39_49_7230_left,0,27,24,59,46,57,67,11,50,93,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7230_right,0,23,30,49,53,51,74,11,53,91,60,0,0,0,0,47
capture_2020_04_17_11_39_49_7231_left,0,28,22,57,48,60,65,13,48,91,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7231_right,0,24,26,50,50,52,70,13,50,91,61,0,0,0,0,46
capture_2020_04_17_11_39_49_7232_left,0,31,17,63,40,65,62,17,45,98,49,0,0,0,0,47
capture_2020_04_17_11_39_49_7232_right,0,24,26,51,47,51,68,11,47,94,55,0,0,0,0,47
capture_2020_04_17_11_39_49_7233_left,0,28,24,59,48,61,65,15,52,96,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7233_right,0,26,33,50,52,52,76,13,57,93,61,0,0,0,0,46
capture_2020_04_17_11_39_49_7234_left,0,28,28,63,50,59,72,13,57,96,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7234_right,0,22,33,48,54,50,72,13,57,96,61,0,0,0,0,46
capture_2020_04_17_11_39_49_7235_left,0,27,29,58,49,58,73,13,56,98,53,0,0,0,0,45
capture_2020_04_17_11_39_49_7235_right,0,23,33,49,54,49,74,13,54,93,63,0,0,0,0,46
capture_2020_04_17_11_39_49_7236_left,0,26,28,58,52,60,72,13,54,98,50,0,0,0,0,46
capture_2020_04_17_11_39_49_7236_right,0,22,33,48,56,48,76,11,60,91,64,0,0,0,0,45
capture_2020_04_17_11_39_49_7237_left,0,25,29,56,53,56,76,13,58,96,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7237_right,0,23,36,51,58,51,78,9,60,93,64,0,0,0,0,45
capture_2020_04_17_11_39_49_7238_left,0,25,32,57,52,59,77,9,57,95,55,0,0,0,0,44
capture_2020_04_17_11_39_49_7238_right,0,23,34,52,55,52,80,7,59,93,64,0,0,0,0,44
capture_2020_04_17_11_39_49_7239_left,0,26,29,56,53,56,76,9,58,93,58,0,0,0,0,45
capture_2020_04_17_11_39_49_7239_right,0,21,31,49,53,49,76,9,58,93,62,0,0,0,0,45
capture_2020_04_17_11_39_49_7240_left,0,25,30,53,55,53,80,7,59,93,55,0,0,0,0,44
capture_2020_04_17_11_39_49_7240_right,0,22,31,50,53,50,78,9,58,98,62,0,0,0,0,45
capture_2020_04_17_11_39_49_7241_left,0,25,29,55,53,57,73,9,58,100,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7241_right,0,21,30,48,55,50,75,7,55,95,64,0,0,0,0,44
capture_2020_04_17_11_39_49_7242_left,0,24,32,53,57,53,80,7,61,93,57,0,0,0,0,44
capture_2020_04_17_11_39_49_7242_right,0,21,31,50,53,50,73,5,53,95,60,0,0,0,0,45
capture_2020_04_17_11_39_49_7243_left,0,24,27,53,51,53,73,9,56,96,51,0,0,0,0,45
capture_2020_04_17_11_39_49_7243_right,0,20,24,47,49,47,71,9,53,96,53,0,0,0,0,45
capture_2020_04_17_11_39_49_7244_left,0,25,27,56,51,53,71,11,60,93,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7244_right,0,24,29,47,51,47,73,9,53,96,58,0,0,0,0,45
capture_2020_04_17_11_39_49_7245_left,0,25,29,53,53,58,73,7,60,96,51,0,0,0,0,45
capture_2020_04_17_11_39_49_7245_right,0,23,27,47,49,47,76,7,49,96,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7246_left,0,23,27,56,51,51,76,7,53,96,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7246_right,0,23,27,47,49,49,76,2,51,93,56,0,0,0,0,45
capture_2020_04_17_11_39_49_7247_left,0,22,27,53,57,51,80,2,61,93,57,0,0,0,0,44
capture_2020_04_17_11_39_49_7247_right,0,22,25,48,52,48,75,9,55,95,59,0,0,0,0,44
capture_2020_04_17_11_39_49_7248_left,0,23,24,57,53,52,76,7,60,98,58,0,0,0,0,45
