,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y),,,,,
capture_2020_04_17_11_39_49_7213,0.498113208,0.668789809,0.492125984,0.721311475,0.498069498,0.75,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7214,0.498113208,0.668789809,0.492125984,0.721311475,0.498069498,0.75,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7215,0.498113208,0.675159236,0.492125984,0.726775956,0.501930502,0.755681818,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7216,0.501886792,0.675159236,0.492125984,0.726775956,0.501930502,0.755681818,1,0,0,1,0.090909091
capture_2020_04_17_11_39_49_7217,0.501886792,0.675159236,0.492125984,0.726775956,0.501930502,0.755681818,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7218,0.501886792,0.675159236,0.492125984,0.715846995,0.50965251,0.738636364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7219,0.513207547,0.656050955,0.492125984,0.715846995,0.50965251,0.738636364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7220,0.501886792,0.656050955,0.492125984,0.704918033,0.513513514,0.732954545,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7221,0.505660377,0.656050955,0.492125984,0.699453552,0.521235521,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7222,0.513207547,0.630573248,0.492125984,0.68852459,0.521235521,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7223,0.513207547,0.624203822,0.5,0.68852459,0.528957529,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7224,0.528301887,0.624203822,0.503937008,0.68852459,0.555984556,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7225,0.535849057,0.611464968,0.515748031,0.68852459,0.555984556,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7226,0.547169811,0.573248408,0.527559055,0.650273224,0.555984556,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7227,0.573584906,0.560509554,0.55511811,0.639344262,0.583011583,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7228,0.581132075,0.560509554,0.566929134,0.628415301,0.594594595,0.676136364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7229,0.596226415,0.560509554,0.582677165,0.628415301,0.617760618,0.676136364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7230,0.6,0.560509554,0.590551181,0.628415301,0.617760618,0.676136364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7231,0.60754717,0.560509554,0.590551181,0.628415301,0.617760618,0.676136364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7232,0.60754717,0.560509554,0.618110236,0.62295082,0.617760618,0.676136364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7233,0.60754717,0.560509554,0.618110236,0.628415301,0.617760618,0.681818182,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7234,0.60754717,0.560509554,0.618110236,0.639344262,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7235,0.6,0.560509554,0.586614173,0.68852459,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7236,0.6,0.624203822,0.582677165,0.68852459,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7237,0.59245283,0.636942675,0.578740157,0.68852459,0.594594595,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7238,0.581132075,0.624203822,0.566929134,0.68852459,0.583011583,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7239,0.558490566,0.611464968,0.562992126,0.68852459,0.575289575,0.732954545,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7240,0.550943396,0.611464968,0.55511811,0.704918033,0.555984556,0.744318182,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7241,0.550943396,0.656050955,0.55511811,0.704918033,0.555984556,0.732954545,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7242,0.535849057,0.630573248,0.527559055,0.693989071,0.555984556,0.727272727,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7243,0.532075472,0.649681529,0.55511811,0.68852459,0.555984556,0.715909091,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7244,0.532075472,0.649681529,0.527559055,0.68852459,0.555984556,0.715909091,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7245,0.524528302,0.656050955,0.527559055,0.68852459,0.555984556,0.715909091,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7246,0.528301887,0.668789809,0.519685039,0.693989071,0.555984556,0.715909091,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7247,0.532075472,0.668789809,0.527559055,0.704918033,0.555984556,0.727272727,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7248,0.543396226,0.662420382,0.55511811,0.710382514,0.555984556,0.732954545,0,0,0,0,0.005681818
capture_2020_04_17_11_39_49_7249,0.550943396,0.675159236,0.55511811,0.715846995,0.55984556,0.744318182,0,0,0,0,0.005681818
capture_2020_04_17_11_39_49_7250,0.550943396,0.694267516,0.55511811,0.715846995,0.55984556,0.744318182,0,0,0,0,0.005681818
capture_2020_04_17_11_39_49_7251,0.558490566,0.707006369,0.55511811,0.715846995,0.571428571,0.744318182,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7252,0.566037736,0.713375796,0.55511811,0.715846995,0.571428571,0.744318182,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7253,0.569811321,0.681528662,0.55511811,0.715846995,0.571428571,0.744318182,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7254,0.566037736,0.700636943,0.55511811,0.715846995,0.579150579,0.744318182,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7255,0.573584906,0.719745223,0.55511811,0.726775956,0.575289575,0.755681818,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7256,0.569811321,0.707006369,0.562992126,0.726775956,0.583011583,0.761363636,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7257,0.573584906,0.738853503,0.559055118,0.732240437,0.575289575,0.755681818,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7258,0.566037736,0.719745223,0.559055118,0.732240437,0.575289575,0.755681818,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7259,0.566037736,0.738853503,0.559055118,0.732240437,0.575289575,0.755681818,0,0,0,0,0.022727273
capture_2020_04_17_11_39_49_7260,0.58490566,0.777070064,0.559055118,0.732240437,0.575289575,0.755681818,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7261,0.581132075,0.76433121,0.559055118,0.732240437,0.575289575,0.755681818,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7262,0.588679245,0.751592357,0.559055118,0.715846995,0.586872587,0.744318182,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7263,0.596226415,0.74522293,0.562992126,0.710382514,0.583011583,0.738636364,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7264,0.59245283,0.72611465,0.562992126,0.704918033,0.590733591,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7265,0.588679245,0.694267516,0.562992126,0.704918033,0.590733591,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7266,0.596226415,0.694267516,0.562992126,0.704918033,0.590733591,0.727272727,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7267,0.6,0.662420382,0.57480315,0.699453552,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7268,0.596226415,0.630573248,0.582677165,0.68852459,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7269,0.6,0.624203822,0.578740157,0.68852459,0.617760618,0.715909091,0,0,0,0,0.090909091
capture_2020_04_17_11_39_49_7270,0.603773585,0.681528662,0.586614173,0.68852459,0.625482625,0.715909091,0,0,0,0,0.102272727
capture_2020_04_17_11_39_49_7271,0.60754717,0.668789809,0.590551181,0.68852459,0.629343629,0.715909091,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7272,0.61509434,0.649681529,0.618110236,0.68852459,0.640926641,0.715909091,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7273,0.61509434,0.656050955,0.618110236,0.68852459,0.640926641,0.715909091,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7274,0.61509434,0.643312102,0.618110236,0.68852459,0.648648649,0.715909091,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7275,0.61509434,0.643312102,0.618110236,0.655737705,0.640926641,0.681818182,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7276,0.60754717,0.643312102,0.590551181,0.644808743,0.648648649,0.676136364,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7277,0.61509434,0.630573248,0.618110236,0.633879781,0.648648649,0.664772727,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7278,0.611320755,0.611464968,0.590551181,0.628415301,0.644787645,0.659090909,0,0,0,0,0.113636364
capture_2020_04_17_11_39_49_7279,0.626415094,0.643312102,0.590551181,0.612021858,0.644787645,0.647727273,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7280,0.622641509,0.643312102,0.582677165,0.606557377,0.640926641,0.642045455,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7281,0.618867925,0.643312102,0.570866142,0.601092896,0.640926641,0.642045455,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7282,0.611320755,0.662420382,0.562992126,0.601092896,0.625482625,0.630681818,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7283,0.603773585,0.611464968,0.562992126,0.601092896,0.633204633,0.625,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7284,0.59245283,0.566878981,0.55511811,0.601092896,0.625482625,0.625,0,0,0,0,0.181818182
capture_2020_04_17_11_39_49_7285,0.581132075,0.535031847,0.55511811,0.601092896,0.625482625,0.625,0,0,0,0,0.198863636
capture_2020_04_17_11_39_49_7286,0.581132075,0.503184713,0.55511811,0.601092896,0.617760618,0.625,0,0,0,0,0.198863636
capture_2020_04_17_11_39_49_7287,0.573584906,0.503184713,0.55511811,0.56284153,0.621621622,0.590909091,0,0,0,0,0.198863636
capture_2020_04_17_11_39_49_7288,0.562264151,0.503184713,0.519685039,0.551912568,0.617760618,0.573863636,0,0,0,0,0.198863636
capture_2020_04_17_11_39_49_7289,0.58490566,0.535031847,0.511811024,0.535519126,0.617760618,0.5625,0,0,0,0,0.272727273
capture_2020_04_17_11_39_49_7290,0.573584906,0.503184713,0.503937008,0.519125683,0.617760618,0.545454545,0,0,0,0,0.272727273
capture_2020_04_17_11_39_49_7291,0.573584906,0.515923567,0.507874016,0.513661202,0.617760618,0.534090909,0,0,0,0,0.272727273
capture_2020_04_17_11_39_49_7292,0.588679245,0.503184713,0.5,0.513661202,0.617760618,0.5,0,0,0,0,0.363636364
