,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7263,0,0,371,375,618,371,496,461,493,575,493,614,0,0,0,0,150
capture_2020_04_17_11_39_49_7264,0,0,372,375,620,372,496,460,496,573,496,616,0,0,0,0,150
capture_2020_04_17_11_39_49_7265,0,0,373,372,626,368,500,456,496,572,496,614,0,0,0,0,152
capture_2020_04_17_11_39_49_7266,0,0,373,368,626,365,500,456,496,572,496,614,0,0,0,0,152
capture_2020_04_17_11_39_49_7267,0,0,371,369,625,369,496,456,496,577,496,619,0,0,0,0,154
capture_2020_04_17_11_39_49_7268,0,0,371,369,625,369,496,456,496,577,496,619,0,0,0,0,154
capture_2020_04_17_11_39_49_7269,0,0,372,376,624,372,496,459,496,583,496,624,0,0,0,0,154
capture_2020_04_17_11_39_49_7270,0,0,372,376,624,372,496,459,496,583,496,624,0,0,0,0,154
capture_2020_04_17_11_39_49_7271,0,0,377,373,630,369,500,462,500,581,500,626,0,0,0,0,156
capture_2020_04_17_11_39_49_7272,0,0,381,369,632,369,500,461,503,580,503,620,0,0,0,0,158
capture_2020_04_17_11_39_49_7273,0,0,379,373,634,373,510,467,503,582,503,625,0,0,0,0,158
capture_2020_04_17_11_39_49_7274,0,0,379,366,634,370,513,467,507,582,507,622,0,0,0,0,160
capture_2020_04_17_11_39_49_7275,0,0,380,367,636,370,506,467,500,583,500,623,0,0,0,0,160
capture_2020_04_17_11_39_49_7276,0,0,378,367,634,374,506,462,500,584,500,623,0,0,0,0,162
capture_2020_04_17_11_39_49_7277,0,0,379,367,631,374,506,462,503,580,500,623,0,0,0,0,164
capture_2020_04_17_11_39_49_7278,0,0,379,361,630,371,506,455,500,576,500,618,0,0,0,0,164
capture_2020_04_17_11_39_49_7279,0,0,380,361,632,371,506,455,500,571,500,616,0,0,0,0,166
capture_2020_04_17_11_39_49_7280,0,0,367,362,619,372,496,457,487,570,487,617,0,0,0,0,168
capture_2020_04_17_11_39_49_7281,0,0,365,366,615,375,490,456,481,575,481,619,0,0,0,0,170
