,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213_left,0,508,310,508,457,508,571,214,473,802,424,0,0,0,0,49
capture_2020_04_17_11_39_49_7213_right,0,492,310,492,441,492,555,214,424,818,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7214_left,0,492,310,508,457,508,571,198,457,818,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7214_right,0,492,310,492,441,492,571,198,441,818,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7215_left,0,500,310,500,457,500,571,206,457,826,441,0,0,0,0,48
capture_2020_04_17_11_39_49_7215_right,0,492,294,492,441,492,571,198,441,818,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7216_left,0,500,294,532,441,500,571,190,457,826,441,0,0,0,0,48
capture_2020_04_17_11_39_49_7216_right,0,492,278,476,408,508,571,182,441,818,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7217_left,0,524,261,541,424,524,588,198,473,851,457,0,0,0,0,49
capture_2020_04_17_11_39_49_7217_right,0,524,261,476,408,524,588,198,424,851,441,0,0,0,0,49
capture_2020_04_17_11_39_49_7218_left,0,533,267,533,433,517,583,200,450,850,433,0,0,0,0,48
capture_2020_04_17_11_39_49_7218_right,0,533,267,517,417,517,583,183,433,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7219_left,0,500,267,517,433,517,583,200,467,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7219_right,0,500,267,483,417,517,583,200,467,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7220_left,0,500,267,533,433,517,583,200,467,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7220_right,0,517,267,500,417,517,583,200,450,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7221_left,0,517,272,517,409,517,579,193,443,857,443,0,0,0,0,48
capture_2020_04_17_11_39_49_7221_right,0,525,267,491,433,525,583,208,450,858,450,0,0,0,0,47
capture_2020_04_17_11_39_49_7222_left,0,517,267,517,417,517,583,200,450,850,450,0,0,0,0,48
capture_2020_04_17_11_39_49_7222_right,0,525,267,491,400,525,583,191,433,858,450,0,0,0,0,47
capture_2020_04_17_11_39_49_7223_left,0,526,255,526,409,526,579,185,426,866,443,0,0,0,0,47
capture_2020_04_17_11_39_49_7223_right,0,526,255,491,391,526,579,185,426,866,443,0,0,0,0,47
capture_2020_04_17_11_39_49_7224_left,0,517,243,517,417,517,574,187,435,865,435,0,0,0,0,46
capture_2020_04_17_11_39_49_7224_right,0,526,243,491,417,526,574,195,435,856,435,0,0,0,0,47
capture_2020_04_17_11_39_49_7225_left,0,517,243,517,417,517,574,187,435,865,435,0,0,0,0,46
capture_2020_04_17_11_39_49_7225_right,0,517,243,500,383,517,574,187,435,865,435,0,0,0,0,46
capture_2020_04_17_11_39_49_7226_left,0,517,209,535,383,517,574,187,435,865,435,0,0,0,0,46
capture_2020_04_17_11_39_49_7226_right,0,517,209,465,383,517,574,170,383,865,435,0,0,0,0,46
capture_2020_04_17_11_39_49_7227_left,0,535,174,535,365,517,574,170,383,865,383,0,0,0,0,46
capture_2020_04_17_11_39_49_7227_right,0,464,196,482,409,482,569,180,409,873,480,0,0,0,0,46
capture_2020_04_17_11_39_49_7228_left,0,535,157,535,348,535,557,170,417,848,383,0,0,0,0,46
capture_2020_04_17_11_39_49_7228_right,0,465,209,483,400,500,574,170,417,830,452,0,0,0,0,46
capture_2020_04_17_11_39_49_7229_left,0,570,174,570,365,570,557,170,383,865,400,0,0,0,0,46
capture_2020_04_17_11_39_49_7229_right,0,509,221,509,409,509,579,185,391,866,477,0,0,0,0,47
capture_2020_04_17_11_39_49_7230_left,0,570,191,570,365,552,539,187,400,848,400,0,0,0,0,46
capture_2020_04_17_11_39_49_7230_right,0,491,238,491,426,509,596,185,426,832,477,0,0,0,0,47
capture_2020_04_17_11_39_49_7231_left,0,585,170,568,374,585,511,210,374,840,391,0,0,0,0,46
capture_2020_04_17_11_39_49_7231_right,0,517,209,500,400,517,557,204,400,830,487,0,0,0,0,46
capture_2020_04_17_11_39_49_7232_left,0,630,139,595,330,613,504,230,365,874,400,0,0,0,0,47
capture_2020_04_17_11_39_49_7232_right,0,509,204,509,374,509,545,185,374,849,443,0,0,0,0,47
capture_2020_04_17_11_39_49_7233_left,0,587,191,570,383,587,522,222,417,865,400,0,0,0,0,46
capture_2020_04_17_11_39_49_7233_right,0,552,261,500,417,517,609,204,452,848,487,0,0,0,0,46
capture_2020_04_17_11_39_49_7234_left,0,587,226,604,400,570,574,204,452,865,400,0,0,0,0,46
capture_2020_04_17_11_39_49_7234_right,0,483,261,483,435,500,574,204,452,865,487,0,0,0,0,46
capture_2020_04_17_11_39_49_7235_left,0,580,231,562,391,562,587,207,444,882,427,0,0,0,0,45
capture_2020_04_17_11_39_49_7235_right,0,500,267,482,444,482,604,198,444,838,516,0,0,0,0,46
capture_2020_04_17_11_39_49_7236_left,0,553,231,553,427,571,587,198,444,873,409,0,0,0,0,46
capture_2020_04_17_11_39_49_7236_right,0,491,261,491,435,491,591,195,470,838,504,0,0,0,0,45
capture_2020_04_17_11_39_49_7237_left,0,544,231,544,427,544,604,207,462,864,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7237_right,0,509,284,509,462,509,622,171,480,847,516,0,0,0,0,45
capture_2020_04_17_11_39_49_7238_left,0,555,255,555,418,573,618,172,455,864,436,0,0,0,0,44
capture_2020_04_17_11_39_49_7238_right,0,518,273,518,436,518,636,154,473,845,509,0,0,0,0,44
capture_2020_04_17_11_39_49_7239_left,0,562,231,544,427,544,604,171,462,847,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7239_right,0,473,249,491,427,491,604,171,462,847,498,0,0,0,0,45
capture_2020_04_17_11_39_49_7240_left,0,552,231,535,427,535,622,161,462,855,427,0,0,0,0,44
capture_2020_04_17_11_39_49_7240_right,0,490,255,490,436,490,636,163,473,872,509,0,0,0,0,45
capture_2020_04_17_11_39_49_7241_left,0,545,236,526,436,545,600,163,473,890,455,0,0,0,0,45
capture_2020_04_17_11_39_49_7241_right,0,481,236,481,436,499,600,154,436,864,509,0,0,0,0,44
capture_2020_04_17_11_39_49_7242_left,0,535,249,535,444,535,622,161,480,855,444,0,0,0,0,44
capture_2020_04_17_11_39_49_7242_right,0,472,255,490,436,490,600,126,436,854,491,0,0,0,0,45
capture_2020_04_17_11_39_49_7243_left,0,527,213,527,409,527,587,171,444,864,409,0,0,0,0,45
capture_2020_04_17_11_39_49_7243_right,0,456,196,473,391,473,569,171,427,864,427,0,0,0,0,45
capture_2020_04_17_11_39_49_7244_left,0,544,213,544,409,527,569,189,480,847,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7244_right,0,527,231,473,409,473,587,171,427,864,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7245_left,0,544,231,527,427,562,587,153,480,864,409,0,0,0,0,45
capture_2020_04_17_11_39_49_7245_right,0,509,213,473,391,473,604,153,391,864,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7246_left,0,509,213,544,409,509,604,153,427,864,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7246_right,0,509,213,473,391,491,604,118,409,847,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7247_left,0,499,213,535,444,517,622,126,480,855,444,0,0,0,0,44
capture_2020_04_17_11_39_49_7247_right,0,499,200,481,418,481,600,172,436,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7248_left,0,508,200,545,436,508,618,145,491,872,473,0,0,0,0,45
capture_2020_04_17_11_39_49_7248_right,0,499,200,481,418,499,600,135,436,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7249_left,0,499,200,518,436,499,600,154,473,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7249_right,0,509,213,491,427,509,604,136,444,847,480,0,0,0,0,45
capture_2020_04_17_11_39_49_7250_left,0,518,200,518,436,518,600,154,473,864,455,0,0,0,0,44
capture_2020_04_17_11_39_49_7250_right,0,527,213,509,444,509,604,153,462,864,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7251_left,0,527,213,509,444,509,622,153,462,864,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7251_right,0,499,218,518,436,518,618,154,473,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7252_left,0,499,213,517,444,517,622,144,444,872,444,0,0,0,0,44
capture_2020_04_17_11_39_49_7252_right,0,508,218,508,436,508,618,145,473,872,473,0,0,0,0,45
capture_2020_04_17_11_39_49_7253_left,0,517,213,517,444,517,622,161,462,872,480,0,0,0,0,44
capture_2020_04_17_11_39_49_7253_right,0,517,213,517,427,517,622,161,444,855,462,0,0,0,0,44
capture_2020_04_17_11_39_49_7254_left,0,499,218,518,436,518,618,154,473,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7254_right,0,499,218,499,436,518,618,135,455,864,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7255_left,0,526,218,526,436,508,618,145,455,872,473,0,0,0,0,45
capture_2020_04_17_11_39_49_7255_right,0,536,218,518,436,518,618,172,436,882,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7256_left,0,536,218,518,436,518,618,154,455,882,455,0,0,0,0,44
capture_2020_04_17_11_39_49_7256_right,0,517,231,517,444,517,604,161,444,872,462,0,0,0,0,44
capture_2020_04_17_11_39_49_7257_left,0,518,236,518,436,518,618,154,491,882,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7257_right,0,517,231,517,444,517,622,144,480,872,462,0,0,0,0,44
capture_2020_04_17_11_39_49_7258_left,0,518,236,518,436,518,618,154,491,882,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7258_right,0,526,236,508,436,526,618,145,491,890,491,0,0,0,0,45
capture_2020_04_17_11_39_49_7259_left,0,518,236,518,436,518,618,154,491,882,473,0,0,0,0,44
capture_2020_04_17_11_39_49_7259_right,0,536,236,518,436,518,618,154,455,882,491,0,0,0,0,44
capture_2020_04_17_11_39_49_7260_left,0,535,249,517,444,517,622,144,480,872,498,0,0,0,0,44
capture_2020_04_17_11_39_49_7260_right,0,536,236,536,455,518,618,154,473,882,491,0,0,0,0,44
capture_2020_04_17_11_39_49_7261_left,0,536,236,536,473,518,618,154,509,882,491,0,0,0,0,44
capture_2020_04_17_11_39_49_7261_right,0,527,249,527,444,527,622,153,462,882,498,0,0,0,0,45
capture_2020_04_17_11_39_49_7262_left,0,509,249,509,427,509,604,171,480,882,498,0,0,0,0,45
capture_2020_04_17_11_39_49_7262_right,0,509,231,509,427,527,604,136,444,882,480,0,0,0,0,45
capture_2020_04_17_11_39_49_7263_left,0,509,231,509,444,527,604,136,480,882,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7263_right,0,527,196,527,409,527,604,136,480,882,462,0,0,0,0,45
capture_2020_04_17_11_39_49_7264_left,0,527,231,527,480,527,640,153,498,864,480,0,0,0,0,45
capture_2020_04_17_11_39_49_7264_right,0,527,231,509,427,527,640,171,462,864,480,0,0,0,0,45
capture_2020_04_17_11_39_49_7265_left,0,517,226,517,435,517,626,152,504,865,470,0,0,0,0,46
capture_2020_04_17_11_39_49_7265_right,0,527,231,509,427,527,640,153,444,864,480,0,0,0,0,45
capture_2020_04_17_11_39_49_7266_left,0,508,226,525,435,525,626,143,487,856,452,0,0,0,0,45
capture_2020_04_17_11_39_49_7266_right,0,527,213,509,409,527,604,153,444,864,444,0,0,0,0,45
capture_2020_04_17_11_39_49_7267_left,0,499,255,534,443,534,596,159,477,857,460,0,0,0,0,46
capture_2020_04_17_11_39_49_7267_right,0,500,261,500,417,517,591,170,452,865,470,0,0,0,0,46
capture_2020_04_17_11_39_49_7268_left,0,500,261,535,435,517,626,152,487,865,470,0,0,0,0,46
capture_2020_04_17_11_39_49_7268_right,0,526,255,526,409,543,613,151,443,883,443,0,0,0,0,47
capture_2020_04_17_11_39_49_7269_left,0,526,261,526,470,543,626,143,504,874,470,0,0,0,0,47
capture_2020_04_17_11_39_49_7269_right,0,535,243,517,435,535,626,152,470,883,470,0,0,0,0,46
capture_2020_04_17_11_39_49_7270_left,0,535,243,535,470,535,626,135,504,883,470,0,0,0,0,46
capture_2020_04_17_11_39_49_7270_right,0,500,261,517,435,517,609,152,470,883,452,0,0,0,0,46
capture_2020_04_17_11_39_49_7271_left,0,509,255,543,443,509,613,151,477,866,477,0,0,0,0,47
capture_2020_04_17_11_39_49_7271_right,0,543,243,526,417,526,591,143,435,874,452,0,0,0,0,47
capture_2020_04_17_11_39_49_7272_left,0,525,233,525,417,541,583,141,450,875,417,0,0,0,0,47
