,noFace,Face,,Left eye,,Right eye ,,Left,Right,Up,Down,Face width:,,,,,,,,
Picture:,,"(x,",y),"(x,",y),"(x,",y),,,,,,,,,,,,,
capture_2020_05_25_14_51_35_547,0,358,213,305,150,422,157,0,0,1,0,263,,0.55,0.5,0.488114105,0.363196126,0.667697063,0.395989975,0.661478599
capture_2020_05_25_14_51_35_548,0,358,213,305,143,420,150,0,0,1,0,263,,0.55,0.5,0.488114105,0.346246973,0.664605873,0.378446115,0.661478599
capture_2020_05_25_14_51_35_549,0,361,204,305,139,417,146,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.336561743,0.659969088,0.368421053,0.610894942
capture_2020_05_25_14_51_35_550,0,361,204,305,139,417,146,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.336561743,0.659969088,0.368421053,0.610894942
capture_2020_05_25_14_51_35_551,0,361,204,305,139,417,146,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.336561743,0.659969088,0.368421053,0.610894942
capture_2020_05_25_14_51_35_552,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_553,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_554,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_555,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_556,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_557,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_558,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_559,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_560,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_561,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_562,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_563,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_564,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_565,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_05_25_14_51_35_566,0,361,204,305,134,414,138,0,0,1,0,250,,0.554545455,0.481092437,0.488114105,0.324455206,0.655332303,0.348370927,0.610894942
capture_2020_06_10_10_00_57_040290,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040291,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040292,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040293,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040294,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040295,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040296,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_10_00_57_040297,1,212,238,160,144,224,144,0,0,0,0,168,,0.328787879,0.552521008,0.258320127,0.348668281,0.361669243,0.363408521,0.291828794
capture_2020_06_10_13_04_41_000395,0,320,207,257,193,369,187,0,0,0,0,247,,0.492424242,0.487394958,0.412044374,0.467312349,0.585780526,0.471177945,0.59922179
capture_2020_06_10_13_04_41_000396,0,320,207,257,193,369,187,0,0,0,0,247,,0.492424242,0.487394958,0.412044374,0.467312349,0.585780526,0.471177945,0.59922179
capture_2020_06_10_13_04_41_000397,0,320,207,257,193,369,187,0,0,0,0,247,,0.492424242,0.487394958,0.412044374,0.467312349,0.585780526,0.471177945,0.59922179
capture_2020_06_10_13_04_41_000398,0,320,207,257,193,369,187,0,0,0,0,247,,0.492424242,0.487394958,0.412044374,0.467312349,0.585780526,0.471177945,0.59922179
capture_2020_06_10_13_04_41_000399,0,320,207,256,191,367,182,0,0,0,0,247,,0.492424242,0.487394958,0.410459588,0.462469734,0.582689335,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000400,0,320,207,256,191,367,182,0,0,0,0,247,,0.492424242,0.487394958,0.410459588,0.462469734,0.582689335,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000401,0,320,207,256,186,365,177,0,0,0,0,247,,0.492424242,0.487394958,0.410459588,0.450363196,0.579598145,0.446115288,0.59922179
