,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:,,,,,,,,,,,
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y),,,,,,,,,,,,,,,,
capture_2020_04_17_11_39_49_7444,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7445,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7446,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7447,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7448,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7449,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7450,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7451,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7452,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7453,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7454,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7455,0,0,44,129,144,129,93,172,93,218,93,236,0,0,0,0,200,,0.25,0.613095238,0.64,0.591954023,0.47,0.586021505,0.465608466,0.58125,0.444444444,0.614379085
capture_2020_04_17_11_39_49_7456,0,0,44,130,144,131,93,171,93,216,93,234,0,0,0,0,200,,0.25,0.619047619,0.64,0.603448276,0.47,0.580645161,0.465608466,0.56875,0.444444444,0.60130719
capture_2020_04_17_11_39_49_7457,0,0,44,130,144,131,93,171,93,216,93,234,0,0,0,0,200,,0.25,0.619047619,0.64,0.603448276,0.47,0.580645161,0.465608466,0.56875,0.444444444,0.60130719
capture_2020_04_17_11_39_49_7458,0,0,44,130,144,131,93,171,93,216,93,234,0,0,0,0,200,,0.25,0.619047619,0.64,0.603448276,0.47,0.580645161,0.465608466,0.56875,0.444444444,0.60130719
capture_2020_04_17_11_39_49_7618,0,0,63,146,151,138,116,172,116,212,121,226,0,0,0,0,200,,0.375,0.714285714,0.686666667,0.643678161,0.585,0.586021505,0.587301587,0.54375,0.6,0.549019608
capture_2020_04_17_11_39_49_7619,0,0,63,146,153,137,118,172,118,212,121,226,0,0,0,0,200,,0.375,0.714285714,0.7,0.637931034,0.595,0.586021505,0.597883598,0.54375,0.6,0.549019608
capture_2020_04_17_11_39_49_7620,0,0,69,144,154,135,118,172,118,212,121,226,0,0,0,0,200,,0.414473684,0.702380952,0.706666667,0.626436782,0.595,0.586021505,0.597883598,0.54375,0.6,0.549019608
capture_2020_04_17_11_39_49_7621,0,0,66,143,153,134,118,172,118,210,121,228,0,0,0,0,200,,0.394736842,0.696428571,0.7,0.620689655,0.595,0.586021505,0.597883598,0.53125,0.6,0.562091503
capture_2020_04_17_11_39_49_7622,0,0,66,143,157,134,118,172,121,212,122,228,0,0,0,0,200,,0.394736842,0.696428571,0.726666667,0.620689655,0.595,0.586021505,0.613756614,0.54375,0.605555556,0.562091503
capture_2020_04_17_11_39_49_7623,0,0,66,143,157,135,118,174,121,215,122,232,0,0,0,0,200,,0.394736842,0.696428571,0.726666667,0.626436782,0.595,0.596774194,0.613756614,0.5625,0.605555556,0.588235294
capture_2020_04_17_11_39_49_7624,0,0,62,144,155,138,116,173,117,217,119,233,0,0,0,0,200,,0.368421053,0.702380952,0.713333333,0.643678161,0.585,0.591397849,0.592592593,0.575,0.588888889,0.594771242
capture_2020_04_17_11_39_49_7625,0,0,61,146,151,140,114,177,114,220,117,234,0,0,0,0,200,,0.361842105,0.714285714,0.686666667,0.655172414,0.575,0.612903226,0.576719577,0.59375,0.577777778,0.60130719
capture_2020_04_17_11_39_49_7626,0,0,61,147,154,142,114,178,114,219,117,235,0,0,0,0,200,,0.361842105,0.720238095,0.706666667,0.666666667,0.575,0.61827957,0.576719577,0.5875,0.577777778,0.607843137
capture_2020_04_17_11_39_49_7627,0,0,57,153,149,149,108,187,110,227,111,242,0,0,0,0,200,,0.335526316,0.755952381,0.673333333,0.706896552,0.545,0.666666667,0.555555556,0.6375,0.544444444,0.653594771
capture_2020_04_17_11_39_49_7628,0,0,58,153,149,149,111,188,109,227,112,243,0,0,0,0,200,,0.342105263,0.755952381,0.673333333,0.706896552,0.56,0.672043011,0.55026455,0.6375,0.55,0.660130719
capture_2020_04_17_11_39_49_7629,0,0,58,158,149,151,111,188,111,230,112,245,0,0,0,0,200,,0.342105263,0.785714286,0.673333333,0.718390805,0.56,0.672043011,0.560846561,0.65625,0.55,0.673202614
capture_2020_04_17_11_39_49_7630,0,0,64,156,153,150,113,188,115,228,118,243,0,0,0,0,200,,0.381578947,0.773809524,0.7,0.712643678,0.57,0.672043011,0.582010582,0.64375,0.583333333,0.660130719
capture_2020_04_17_11_39_49_7631,0,0,63,152,151,148,115,184,115,224,116,241,0,0,0,0,200,,0.375,0.75,0.686666667,0.701149425,0.58,0.650537634,0.582010582,0.61875,0.572222222,0.647058824
capture_2020_04_17_11_39_49_7664,0,0,52,162,151,172,102,225,97,262,97,273,0,0,0,0,200,,0.302631579,0.80952381,0.686666667,0.83908046,0.515,0.870967742,0.486772487,0.85625,0.466666667,0.85620915
