,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:,,,,,,,,,,,
Picture:,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y),,,,,,,,,,,,,,,,
capture_2020_04_17_11_39_49_7374_right,0,51,30,66,49,50,65,13,55,86,48,0,1,0,0,100,,0.538461538,0.302083333,0.062929062,0.423529412,0.424657534,0.571428571,0.171052632,0.493506494,0.75,0.416666667
capture_2020_04_17_11_39_49_7375_left,0,52,34,66,51,53,67,15,55,89,53,0,1,0,0,100,,0.551282051,0.34375,0.062929062,0.447058824,0.465753425,0.597402597,0.197368421,0.493506494,0.803571429,0.476190476
capture_2020_04_17_11_39_49_7375_right,0,50,33,65,51,52,66,10,55,86,48,0,1,0,0,100,,0.525641026,0.333333333,0.061784897,0.447058824,0.452054795,0.584415584,0.131578947,0.493506494,0.75,0.416666667
capture_2020_04_17_11_39_49_7376_left,0,52,21,66,51,51,73,12,55,89,50,0,1,0,0,100,,0.551282051,0.208333333,0.062929062,0.447058824,0.438356164,0.675324675,0.157894737,0.493506494,0.803571429,0.44047619
capture_2020_04_17_11_39_49_7376_right,0,51,30,67,50,54,64,10,55,87,50,0,1,0,0,100,,0.538461538,0.302083333,0.064073227,0.435294118,0.479452055,0.558441558,0.131578947,0.493506494,0.767857143,0.44047619
capture_2020_04_17_11_39_49_7377_left,0,51,35,67,50,52,67,13,56,91,53,0,1,0,0,100,,0.538461538,0.354166667,0.064073227,0.435294118,0.452054795,0.597402597,0.171052632,0.506493506,0.839285714,0.476190476
capture_2020_04_17_11_39_49_7377_right,0,50,33,67,50,52,65,11,55,85,49,0,1,0,0,100,,0.525641026,0.333333333,0.064073227,0.435294118,0.452054795,0.571428571,0.144736842,0.493506494,0.732142857,0.428571429
capture_2020_04_17_11_39_49_7378_left,0,53,36,67,50,53,69,18,56,89,52,0,1,0,0,100,,0.564102564,0.364583333,0.064073227,0.435294118,0.465753425,0.623376623,0.236842105,0.506493506,0.803571429,0.464285714
capture_2020_04_17_11_39_49_7378_right,0,52,31,67,50,52,68,8,56,90,51,0,1,0,0,100,,0.551282051,0.3125,0.064073227,0.435294118,0.452054795,0.61038961,0.105263158,0.506493506,0.821428571,0.452380952
capture_2020_04_17_11_39_49_7379_left,0,52,33,67,49,53,67,13,56,93,52,0,1,0,0,100,,0.551282051,0.333333333,0.064073227,0.423529412,0.465753425,0.597402597,0.171052632,0.506493506,0.875,0.464285714
capture_2020_04_17_11_39_49_7702_right,0,53,43,52,56,52,65,23,51,94,52,0,0,0,0,100,,0.564102564,0.4375,0.046910755,0.505882353,0.452054795,0.571428571,0.302631579,0.441558442,0.892857143,0.464285714
capture_2020_04_17_11_39_49_7703_left,0,48,39,53,51,52,61,17,47,93,47,0,0,0,0,100,,0.5,0.395833333,0.04805492,0.447058824,0.452054795,0.519480519,0.223684211,0.38961039,0.875,0.404761905
capture_2020_04_17_11_39_49_7703_right,0,58,42,51,54,56,65,25,51,93,52,0,0,0,0,100,,0.628205128,0.427083333,0.04576659,0.482352941,0.506849315,0.571428571,0.328947368,0.441558442,0.875,0.464285714
capture_2020_04_17_11_39_49_7704_left,0,52,40,50,51,51,62,16,48,89,49,0,0,0,0,100,,0.551282051,0.40625,0.044622426,0.447058824,0.438356164,0.532467532,0.210526316,0.402597403,0.803571429,0.428571429
capture_2020_04_17_11_39_49_7704_right,0,52,42,51,54,52,64,21,50,88,53,0,0,0,0,100,,0.551282051,0.427083333,0.04576659,0.482352941,0.452054795,0.558441558,0.276315789,0.428571429,0.785714286,0.476190476
capture_2020_04_17_11_39_49_7705_left,0,50,39,51,51,51,63,17,48,87,50,0,0,0,0,100,,0.525641026,0.395833333,0.04576659,0.447058824,0.438356164,0.545454545,0.223684211,0.402597403,0.767857143,0.44047619
capture_2020_04_17_11_39_49_7705_right,0,52,41,53,54,54,67,21,51,91,53,0,0,0,0,100,,0.551282051,0.416666667,0.04805492,0.482352941,0.479452055,0.597402597,0.276315789,0.441558442,0.839285714,0.476190476
capture_2020_04_17_11_39_49_7706_left,0,47,39,52,51,49,63,17,48,90,49,0,0,0,0,100,,0.487179487,0.395833333,0.046910755,0.447058824,0.410958904,0.545454545,0.223684211,0.402597403,0.821428571,0.428571429
capture_2020_04_17_11_39_49_7706_right,0,52,43,52,55,51,66,22,52,91,54,0,0,0,0,100,,0.551282051,0.4375,0.046910755,0.494117647,0.438356164,0.584415584,0.289473684,0.454545455,0.839285714,0.488095238
capture_2020_04_17_11_39_49_7707_left,0,50,40,53,50,53,61,14,47,93,50,0,0,0,0,100,,0.525641026,0.40625,0.04805492,0.435294118,0.465753425,0.519480519,0.184210526,0.38961039,0.875,0.44047619
capture_2020_04_17_11_39_49_7707_right,0,52,43,51,54,51,66,19,54,91,53,0,0,0,0,100,,0.551282051,0.4375,0.04576659,0.482352941,0.438356164,0.584415584,0.25,0.480519481,0.839285714,0.476190476
capture_2020_05_25_14_51_35_308_right,0,54,24,48,39,49,62,22,52,84,63,0,0,1,0,100,,0.576923077,0.239583333,0.042334096,0.305882353,0.410958904,0.532467532,0.289473684,0.454545455,0.714285714,0.595238095
capture_2020_05_25_14_51_35_309_left,0,54,25,53,39,56,62,24,61,86,56,0,0,1,0,100,,0.576923077,0.25,0.04805492,0.305882353,0.506849315,0.532467532,0.315789474,0.571428571,0.75,0.511904762
capture_2020_05_25_14_51_35_309_right,0,53,23,47,39,48,60,20,50,79,62,0,0,1,0,100,,0.564102564,0.229166667,0.041189931,0.305882353,0.397260274,0.506493506,0.263157895,0.428571429,0.625,0.583333333
capture_2020_05_25_14_51_35_310_left,0,52,22,53,39,56,56,21,59,84,52,0,0,1,0,100,,0.551282051,0.21875,0.04805492,0.305882353,0.506849315,0.454545455,0.276315789,0.545454545,0.714285714,0.464285714
capture_2020_05_25_14_51_35_310_right,0,53,24,46,38,46,58,20,51,82,61,0,0,1,0,100,,0.564102564,0.239583333,0.040045767,0.294117647,0.369863014,0.480519481,0.263157895,0.441558442,0.678571429,0.571428571
capture_2020_05_25_14_51_35_311_left,0,58,20,58,36,59,57,26,58,88,51,0,0,1,0,100,,0.628205128,0.197916667,0.053775744,0.270588235,0.547945205,0.467532468,0.342105263,0.532467532,0.785714286,0.452380952
capture_2020_05_25_14_51_35_311_right,0,54,22,50,37,49,57,25,50,81,59,0,0,1,0,100,,0.576923077,0.21875,0.044622426,0.282352941,0.410958904,0.467532468,0.328947368,0.428571429,0.660714286,0.547619048
capture_2020_05_25_14_51_35_312_left,0,59,22,60,35,59,55,33,56,91,51,0,0,1,0,100,,0.641025641,0.21875,0.056064073,0.258823529,0.547945205,0.441558442,0.434210526,0.506493506,0.839285714,0.452380952
capture_2020_05_25_14_51_35_312_right,0,59,25,50,37,51,53,24,48,83,58,0,0,1,0,100,,0.641025641,0.25,0.044622426,0.282352941,0.438356164,0.415584416,0.315789474,0.402597403,0.696428571,0.535714286
capture_2020_05_25_14_51_35_313_left,0,57,19,58,35,57,57,28,54,89,49,0,0,1,0,100,,0.615384615,0.1875,0.053775744,0.258823529,0.520547945,0.467532468,0.368421053,0.480519481,0.803571429,0.428571429
capture_2020_05_25_14_51_35_313_right,0,58,22,51,35,55,55,25,46,82,56,0,0,1,0,100,,0.628205128,0.21875,0.04576659,0.258823529,0.493150685,0.441558442,0.328947368,0.376623377,0.678571429,0.511904762
capture_2020_05_25_14_51_35_314_left,0,58,22,59,37,59,54,31,55,89,51,0,0,1,0,100,,0.628205128,0.21875,0.054919908,0.282352941,0.547945205,0.428571429,0.407894737,0.493506494,0.803571429,0.452380952
capture_2020_05_25_14_51_35_314_right,0,59,20,51,35,54,54,25,48,81,57,0,0,1,0,100,,0.641025641,0.197916667,0.04576659,0.258823529,0.479452055,0.428571429,0.328947368,0.402597403,0.660714286,0.523809524
capture_2020_05_25_14_51_35_315_left,0,57,22,58,37,60,55,31,55,89,51,0,0,1,0,100,,0.615384615,0.21875,0.053775744,0.282352941,0.561643836,0.441558442,0.407894737,0.493506494,0.803571429,0.452380952
capture_2020_05_25_14_51_35_315_right,0,57,21,51,35,51,53,26,46,80,57,0,0,1,0,100,,0.615384615,0.208333333,0.04576659,0.258823529,0.438356164,0.415584416,0.342105263,0.376623377,0.642857143,0.523809524
capture_2020_06_09_09_37_23_000409_left,0,29,57,52,50,67,69,28,95,81,41,0,0,0,0,100,,0.256410256,0.583333333,0.046910755,0.435294118,0.657534247,0.623376623,0.368421053,1.012987013,0.660714286,0.333333333
capture_2020_06_09_09_37_23_000409_right,0,29,29,42,38,57,56,16,80,72,25,0,0,0,0,100,,0.256410256,0.291666667,0.035469108,0.294117647,0.520547945,0.454545455,0.210526316,0.818181818,0.5,0.142857143
capture_2020_06_09_09_37_23_000410_left,0,28,51,48,48,61,65,23,95,77,41,0,0,0,0,100,,0.243589744,0.520833333,0.042334096,0.411764706,0.575342466,0.571428571,0.302631579,1.012987013,0.589285714,0.333333333
capture_2020_06_09_09_37_23_000410_right,0,23,32,38,36,53,55,14,80,66,27,0,0,0,0,100,,0.179487179,0.322916667,0.030892449,0.270588235,0.465753425,0.441558442,0.184210526,0.818181818,0.392857143,0.166666667
capture_2020_06_09_09_37_23_000411_left,0,21,54,42,49,57,68,16,81,68,44,0,0,0,0,100,,0.153846154,0.552083333,0.035469108,0.423529412,0.520547945,0.61038961,0.210526316,0.831168831,0.428571429,0.369047619
capture_2020_06_09_09_37_23_000411_right,0,17,32,33,36,50,57,10,78,61,28,0,0,0,0,100,,0.102564103,0.322916667,0.025171625,0.270588235,0.424657534,0.467532468,0.131578947,0.792207792,0.303571429,0.178571429
capture_2020_07_17_12_10_14_000004_right,0,60,38,59,48,59,61,32,50,87,56,0,0,0,0,100,,0.653846154,0.385416667,0.054919908,0.411764706,0.547945205,0.519480519,0.421052632,0.428571429,0.767857143,0.511904762
capture_2020_07_17_12_10_14_000005_left,0,46,51,48,61,48,77,22,68,77,66,0,0,0,0,100,,0.474358974,0.520833333,0.042334096,0.564705882,0.397260274,0.727272727,0.289473684,0.662337662,0.589285714,0.630952381
capture_2020_07_17_12_10_14_000005_right,0,46,45,45,57,45,71,14,64,75,62,0,0,0,0,100,,0.474358974,0.458333333,0.038901602,0.517647059,0.356164384,0.649350649,0.184210526,0.61038961,0.553571429,0.583333333
capture_2020_07_17_12_10_14_000014_left,1,59,74,60,76,61,78,35,85,87,67,0,0,0,0,100,,0.641025641,0.760416667,0.056064073,0.741176471,0.575342466,0.74025974,0.460526316,0.883116883,0.767857143,0.642857143
capture_2020_07_17_12_10_14_000014_right,1,62,44,62,46,62,48,41,48,97,41,0,0,0,0,100,,0.679487179,0.447916667,0.058352403,0.388235294,0.589041096,0.350649351,0.539473684,0.402597403,0.946428571,0.333333333
capture_2020_07_17_12_10_14_000017_left,1,41,81,42,83,42,86,18,81,71,74,0,0,0,0,100,,0.41025641,0.833333333,0.035469108,0.823529412,0.315068493,0.844155844,0.236842105,0.831168831,0.482142857,0.726190476
capture_2020_07_17_12_10_14_000017_right,1,51,73,52,75,51,79,22,69,76,75,0,0,0,0,100,,0.538461538,0.75,0.046910755,0.729411765,0.438356164,0.753246753,0.289473684,0.675324675,0.571428571,0.738095238
capture_2020_07_17_12_10_14_000018_right,1,47,89,47,91,47,93,20,85,69,84,0,0,0,0,100,,0.487179487,0.916666667,0.041189931,0.917647059,0.383561644,0.935064935,0.263157895,0.883116883,0.446428571,0.845238095
capture_2020_07_17_12_10_14_000019_left,1,45,82,45,84,45,86,18,75,71,76,0,0,0,0,100,,0.461538462,0.84375,0.038901602,0.835294118,0.356164384,0.844155844,0.236842105,0.753246753,0.482142857,0.75
capture_2020_07_17_12_10_14_000019_right,1,39,86,39,88,40,90,14,83,65,81,0,0,0,0,100,,0.384615385,0.885416667,0.032036613,0.882352941,0.287671233,0.896103896,0.184210526,0.857142857,0.375,0.80952381
capture_2020_07_17_12_10_14_000023_left,0,51,69,52,79,56,90,31,87,83,75,0,0,0,0,100,,0.538461538,0.708333333,0.046910755,0.776470588,0.506849315,0.896103896,0.407894737,0.909090909,0.696428571,0.738095238
capture_2020_07_17_12_10_14_000023_right,0,54,45,53,56,55,68,26,63,96,49,0,0,0,0,100,,0.576923077,0.458333333,0.04805492,0.505882353,0.493150685,0.61038961,0.342105263,0.597402597,0.928571429,0.428571429
capture_2020_07_17_12_10_14_000024_left,0,56,63,66,71,68,83,43,79,97,68,0,0,0,0,100,,0.602564103,0.645833333,0.062929062,0.682352941,0.671232877,0.805194805,0.565789474,0.805194805,0.946428571,0.654761905
capture_2020_07_17_12_10_14_000024_right,0,69,38,69,48,71,61,43,57,100,43,0,0,0,0,100,,0.769230769,0.385416667,0.066361556,0.411764706,0.712328767,0.519480519,0.565789474,0.519480519,1,0.357142857
