,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_07_17_10_29_02_572,0,0.52727272727272723,0.57773109243697474,0.46592709984152142,0.63196125907990319,0.62679425837320579,0.64160401002506262,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_573,0,0.52727272727272723,0.57773109243697474,0.46275752773375595,0.62469733656174331,0.62200956937799046,0.63408521303258147,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_574,0,0.52272727272727271,0.57352941176470584,0.45958795562599047,0.61743341404358354,0.6188197767145136,0.62656641604010022,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_575,0,0.51969696969696966,0.56302521008403361,0.45483359746434232,0.60290556900726389,0.61403508771929827,0.61152882205513781,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_576,0,0.51363636363636367,0.55672268907563027,0.45166402535657685,0.59079903147699753,0.60925039872408293,0.59899749373433586,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_577,0,0.50757575757575757,0.55042016806722693,0.44215530903328049,0.5714285714285714,0.60127591706539074,0.57894736842105265,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_578,0,0.503030303030303,0.5357142857142857,0.43740095087163233,0.55690072639225185,0.59330143540669855,0.55889724310776945,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_579,0,0.49696969696969695,0.52521008403361347,0.42789223454833597,0.5447941888619855,0.58532695374800636,0.54887218045112784,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_580,0,0.49242424242424243,0.51890756302521013,0.42313787638668782,0.53510895883777243,0.57735247208931417,0.53634085213032578,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_581,0,0.48787878787878786,0.51050420168067223,0.41679873217115687,0.53026634382566584,0.57097288676236047,0.531328320802005,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_582,0,0.47727272727272729,0.50630252100840334,0.41204437400950872,0.52300242130750607,0.56618819776714513,0.52631578947368418,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_583,0,0.47575757575757577,0.50630252100840334,0.410459587955626,0.52300242130750607,0.56299840510366828,0.52130325814536338,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_584,0,0.47424242424242424,0.50210084033613445,0.410459587955626,0.52300242130750607,0.56299840510366828,0.52130325814536338,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_585,0,0.47272727272727272,0.50210084033613445,0.40887480190174325,0.5157384987893463,0.55980861244019142,0.51629072681704258,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_586,0,0.47121212121212119,0.49789915966386555,0.40412044374009509,0.513317191283293,0.55183413078149923,0.51378446115288223,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_587,0,0.46515151515151515,0.49579831932773111,0.40095087163232962,0.51089588377723971,0.55023923444976075,0.51378446115288223,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_588,0,0.4621212121212121,0.49579831932773111,0.39461172741679873,0.50847457627118642,0.54545454545454541,0.50877192982456143,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_589,0,0.45606060606060606,0.49579831932773111,0.39144215530903326,0.50847457627118642,0.54066985645933019,0.506265664160401,0,0,0,0,0.58754863813229574
capture_2020_07_17_10_29_02_590,0,0.44848484848484849,0.49579831932773111,0.38351822503961963,0.50847457627118642,0.532695374800638,0.506265664160401,0,0,0,0,0.56031128404669261
capture_2020_07_17_10_29_02_591,0,0.43787878787878787,0.48949579831932771,0.37242472266244059,0.5157384987893463,0.52153110047846885,0.50375939849624063,0,0,0,0,0.54474708171206221
capture_2020_07_17_10_29_02_592,0,0.43636363636363634,0.48949579831932771,0.36133122028526149,0.5157384987893463,0.507177033492823,0.50125313283208017,0,0,0,0,0.54474708171206221
capture_2020_07_17_10_29_02_593,0,0.41969696969696968,0.49789915966386555,0.34865293185419971,0.52058111380145278,0.49441786283891548,0.50375939849624063,0,0,0,0,0.54474708171206221
capture_2020_07_17_10_29_02_594,0,0.40757575757575759,0.49789915966386555,0.33914421553090335,0.52542372881355937,0.4784688995215311,0.50375939849624063,0,0,0,0,0.54474708171206221
capture_2020_07_17_10_29_02_595,0,0.39545454545454545,0.50210084033613445,0.329635499207607,0.53026634382566584,0.47049441786283891,0.50375939849624063,0,0,0,0,0.54474708171206221
capture_2020_07_17_10_29_02_596,0,0.3924242424242424,0.50420168067226889,0.32646592709984151,0.53510895883777243,0.45773524720893144,0.50877192982456143,0,0,0,0,0.52918287937743191
capture_2020_07_17_10_29_02_597,0,0.38636363636363635,0.50420168067226889,0.31854199683042789,0.53753026634382561,0.4529505582137161,0.50877192982456143,0,0,0,0,0.52918287937743191
capture_2020_07_17_10_29_02_598,0,0.38030303030303031,0.51050420168067223,0.31854199683042789,0.53510895883777243,0.44816586921850082,0.506265664160401,0,0,0,0,0.52918287937743191
capture_2020_07_17_10_29_02_599,0,0.3893939393939394,0.51260504201680668,0.31854199683042789,0.53510895883777243,0.44816586921850082,0.506265664160401,0,0,0,0,0.49805447470817121
capture_2020_07_17_10_29_02_600,0,0.3893939393939394,0.52100840336134457,0.31537242472266241,0.53995157384987891,0.44338118022328549,0.51378446115288223,0,0,0,0,0.49805447470817121
capture_2020_07_17_10_29_02_601,0,0.38636363636363635,0.52731092436974791,0.32012678288431062,0.5447941888619855,0.44497607655502391,0.52130325814536338,0,0,0,0,0.49805447470817121
capture_2020_07_17_10_29_02_602,0,0.38333333333333336,0.52731092436974791,0.31854199683042789,0.5447941888619855,0.44657097288676234,0.518796992481203,0,0,0,0,0.49805447470817121
capture_2020_07_17_10_29_02_603,0,0.39090909090909093,0.523109243697479,0.32012678288431062,0.5447941888619855,0.4529505582137161,0.52130325814536338,0,0,0,0,0.47859922178988329
capture_2020_07_17_10_29_02_604,0,0.3984848484848485,0.52731092436974791,0.32805071315372425,0.549636803874092,0.45933014354066987,0.52631578947368418,0,0,0,0,0.47859922178988329
