,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7263,0,350,331,312,312,384,312,0,0,0,0,154
capture_2020_04_17_11_39_49_7264,0,352,331,312,312,384,312,0,0,0,0,154
capture_2020_04_17_11_39_49_7265,0,353,322,312,312,384,312,0,0,0,0,154
capture_2020_04_17_11_39_49_7266,0,354,323,316,312,387,310,0,0,0,0,157
capture_2020_04_17_11_39_49_7267,0,356,319,316,309,387,309,0,0,0,0,157
capture_2020_04_17_11_39_49_7268,0,358,319,316,309,389,309,0,0,0,0,157
capture_2020_04_17_11_39_49_7269,0,359,319,317,309,392,309,0,0,0,0,157
capture_2020_04_17_11_39_49_7270,0,359,314,321,309,392,309,0,0,0,0,157
capture_2020_04_17_11_39_49_7271,0,361,314,321,307,394,307,0,0,0,0,157
capture_2020_04_17_11_39_49_7272,0,363,317,321,307,394,307,0,0,0,0,161
capture_2020_04_17_11_39_49_7273,0,363,317,322,302,397,305,0,0,0,0,161
capture_2020_04_17_11_39_49_7274,0,363,317,322,302,397,305,0,0,0,0,161
capture_2020_04_17_11_39_49_7275,0,362,309,322,302,397,305,0,0,0,0,161
capture_2020_04_17_11_39_49_7276,0,362,309,322,300,397,301,0,0,0,0,161
capture_2020_04_17_11_39_49_7277,0,362,310,319,298,397,300,0,0,0,0,167
capture_2020_04_17_11_39_49_7278,0,361,310,319,298,397,300,0,0,0,0,167
capture_2020_04_17_11_39_49_7279,0,358,305,316,294,397,297,0,0,0,0,167
capture_2020_04_17_11_39_49_7280,0,358,305,316,294,397,297,0,0,0,0,167
capture_2020_04_17_11_39_49_7281,0,357,306,316,294,397,297,0,0,0,0,173
capture_2020_04_17_11_39_49_7282,0,357,304,310,292,393,295,0,0,0,0,179
capture_2020_04_17_11_39_49_7283,0,357,304,310,292,393,295,0,0,0,0,179
capture_2020_04_17_11_39_49_7284,0,351,300,308,289,392,292,0,0,0,0,179
capture_2020_04_17_11_39_49_7285,0,351,300,306,287,390,290,0,0,0,0,179
capture_2020_04_17_11_39_49_7286,0,351,300,306,287,390,290,0,0,0,0,179
capture_2020_04_17_11_39_49_7287,0,349,294,301,284,389,285,0,0,0,0,184
capture_2020_04_17_11_39_49_7288,0,349,294,301,284,389,285,0,0,0,0,184
capture_2020_04_17_11_39_49_7289,0,347,289,298,278,386,278,0,0,0,0,190
capture_2020_04_17_11_39_49_7290,0,347,289,298,278,386,278,0,0,0,0,190
capture_2020_04_17_11_39_49_7291,0,348,284,298,273,390,270,0,0,0,0,196
capture_2020_04_17_11_39_49_7292,0,350,281,298,268,390,268,0,0,0,0,198
capture_2020_04_17_11_39_49_7293,0,350,278,298,266,390,266,0,0,0,0,198
capture_2020_04_17_11_39_49_7294,0,350,276,298,264,394,265,0,0,0,0,202
capture_2020_04_17_11_39_49_7295,0,352,271,298,260,396,261,0,0,0,0,207
capture_2020_04_17_11_39_49_7296,0,352,271,298,260,396,261,0,0,0,0,207
capture_2020_04_17_11_39_49_7297,0,349,271,298,255,397,257,0,0,0,0,207
capture_2020_04_17_11_39_49_7298,0,352,272,296,248,399,250,0,0,0,0,213
capture_2020_04_17_11_39_49_7299,0,351,272,296,244,399,246,0,0,0,0,221
capture_2020_04_17_11_39_49_7300,0,353,258,294,240,401,241,0,0,0,0,221
capture_2020_04_17_11_39_49_7301,0,351,257,294,235,401,236,0,0,0,0,225
capture_2020_04_17_11_39_49_7302,0,351,249,294,230,403,234,0,0,0,0,225
capture_2020_04_17_11_39_49_7303,0,351,246,291,225,403,226,0,0,0,0,232
capture_2020_04_17_11_39_49_7304,0,349,243,290,223,402,225,0,0,0,0,234
capture_2020_04_17_11_39_49_7305,0,349,239,290,221,402,223,0,0,0,0,234
capture_2020_04_17_11_39_49_7306,0,348,239,286,220,401,221,0,0,0,0,238
capture_2020_04_17_11_39_49_7307,0,348,236,286,218,401,219,0,0,0,0,242
capture_2020_04_17_11_39_49_7308,0,345,236,282,216,400,216,0,0,0,0,242
capture_2020_04_17_11_39_49_7309,0,345,236,282,214,401,214,0,0,0,0,242
capture_2020_04_17_11_39_49_7310,0,345,235,282,211,403,210,0,0,0,0,252
capture_2020_04_17_11_39_49_7311,0,345,235,282,211,403,210,0,0,0,0,252
capture_2020_04_17_11_39_49_7312,0,349,230,282,205,405,204,0,0,0,0,252
capture_2020_04_17_11_39_49_7313,0,349,230,282,205,405,204,0,0,0,0,252
capture_2020_04_17_11_39_49_7314,0,350,221,282,202,408,202,0,0,0,0,263
capture_2020_04_17_11_39_49_7315,0,351,221,284,200,411,200,0,0,0,0,263
capture_2020_04_17_11_39_49_7316,0,352,217,284,200,412,198,0,0,0,0,265
capture_2020_04_17_11_39_49_7317,0,356,219,287,197,415,198,0,0,0,0,271
capture_2020_04_17_11_39_49_7318,0,356,218,287,196,416,196,0,0,0,0,271
capture_2020_04_17_11_39_49_7319,0,356,219,287,195,419,196,0,0,0,0,275
capture_2020_04_17_11_39_49_7320,0,356,219,287,195,419,196,0,0,0,0,275
capture_2020_04_17_11_39_49_7321,0,358,216,287,195,419,196,0,0,0,0,275
capture_2020_04_17_11_39_49_7322,0,358,216,287,191,422,192,0,0,0,0,275
capture_2020_04_17_11_39_49_7323,0,359,219,287,191,422,192,0,0,0,0,278
capture_2020_04_17_11_39_49_7324,0,359,219,287,191,422,192,0,0,0,0,278
capture_2020_04_17_11_39_49_7325,0,359,219,284,186,421,186,0,0,0,0,278
capture_2020_04_17_11_39_49_7326,0,357,218,284,184,423,184,0,0,0,0,282
capture_2020_04_17_11_39_49_7327,0,356,219,284,184,423,184,0,0,0,0,284
capture_2020_04_17_11_39_49_7328,0,356,219,284,184,423,184,0,0,0,0,284
capture_2020_04_17_11_39_49_7329,0,356,219,284,184,423,184,0,0,0,0,284
