,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7214,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7215,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7216,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7217,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7218,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7219,0,0.54924874791318867,0.67204301075268813,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.20675105485232068
capture_2020_04_17_11_39_49_7220,0,0.55425709515859767,0.65322580645161288,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.19831223628691982
capture_2020_04_17_11_39_49_7221,0,0.55425709515859767,0.65322580645161288,0.51964285714285718,0.74202127659574468,0.55483870967741933,0.77158774373259054,0,0,0,0,0.19831223628691982
capture_2020_04_17_11_39_49_7222,0,0.55425709515859767,0.65322580645161288,0.53035714285714286,0.726063829787234,0.56129032258064515,0.75766016713091922,0,0,0,0,0.19831223628691982
capture_2020_04_17_11_39_49_7223,0,0.55759599332220366,0.64784946236559138,0.53035714285714286,0.7207446808510638,0.56612903225806455,0.75208913649025066,0,0,0,0,0.1729957805907173
capture_2020_04_17_11_39_49_7224,0,0.56427378964941566,0.64247311827956988,0.5375,0.71808510638297873,0.567741935483871,0.74930362116991645,0,0,0,0,0.1729957805907173
capture_2020_04_17_11_39_49_7225,0,0.56427378964941566,0.64247311827956988,0.53928571428571426,0.71542553191489366,0.5741935483870968,0.74651810584958223,0,0,0,0,0.1729957805907173
capture_2020_04_17_11_39_49_7226,0,0.57262103505843076,0.63440860215053763,0.54821428571428577,0.71010638297872342,0.57741935483870965,0.73816155988857934,0,0,0,0,0.1729957805907173
capture_2020_04_17_11_39_49_7227,0,0.58597662771285475,0.63172043010752688,0.55892857142857144,0.69414893617021278,0.58709677419354833,0.73816155988857934,0,0,0,0,0.1729957805907173
capture_2020_04_17_11_39_49_7228,0,0.59098497495826374,0.63978494623655913,0.56607142857142856,0.69414893617021278,0.59193548387096773,0.72980501392757657,0,0,0,0,0.14767932489451477
capture_2020_04_17_11_39_49_7229,0,0.59432387312186974,0.63172043010752688,0.575,0.69414893617021278,0.59838709677419355,0.73537604456824512,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7230,0,0.59432387312186974,0.64784946236559138,0.57678571428571423,0.69414893617021278,0.6,0.7325905292479109,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7231,0,0.59432387312186974,0.64784946236559138,0.57678571428571423,0.68882978723404253,0.59838709677419355,0.73537604456824512,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7232,0,0.59933222036727885,0.63709677419354838,0.57678571428571423,0.69414893617021278,0.59838709677419355,0.7325905292479109,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7233,0,0.59933222036727885,0.63709677419354838,0.57678571428571423,0.69680851063829785,0.6,0.73816155988857934,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7234,0,0.59933222036727885,0.63709677419354838,0.5803571428571429,0.699468085106383,0.59838709677419355,0.73816155988857934,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7235,0,0.59265442404006674,0.65053763440860213,0.57678571428571423,0.71010638297872342,0.59516129032258069,0.74930362116991645,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7236,0,0.59265442404006674,0.65053763440860213,0.57678571428571423,0.71010638297872342,0.59516129032258069,0.74930362116991645,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7237,0,0.59265442404006674,0.65053763440860213,0.56964285714285712,0.71542553191489366,0.5903225806451613,0.754874651810585,0,0,0,0,0.16455696202531644
capture_2020_04_17_11_39_49_7238,0,0.58764607679465775,0.65860215053763438,0.5625,0.723404255319149,0.58709677419354833,0.76044568245125344,0,0,0,0,0.13924050632911392
capture_2020_04_17_11_39_49_7239,0,0.58096828046744575,0.65591397849462363,0.5625,0.726063829787234,0.58387096774193548,0.76044568245125344,0,0,0,0,0.13924050632911392
capture_2020_04_17_11_39_49_7240,0,0.57762938230383976,0.65860215053763438,0.55535714285714288,0.7313829787234043,0.58064516129032262,0.766016713091922,0,0,0,0,0.13924050632911392
capture_2020_04_17_11_39_49_7241,0,0.57429048414023376,0.66129032258064513,0.55535714285714288,0.7313829787234043,0.57580645161290323,0.76323119777158777,0,0,0,0,0.13924050632911392
capture_2020_04_17_11_39_49_7242,0,0.57095158597662776,0.65053763440860213,0.54821428571428577,0.726063829787234,0.57258064516129037,0.754874651810585,0,0,0,0,0.13080168776371309
capture_2020_04_17_11_39_49_7243,0,0.56928213689482465,0.65591397849462363,0.54821428571428577,0.723404255319149,0.57258064516129037,0.74930362116991645,0,0,0,0,0.13080168776371309
