,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7214,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7215,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7216,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7217,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7218,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7219,0,0.48431372549019608,0.67115902964959573,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.23557692307692307
capture_2020_04_17_11_39_49_7220,0,0.49019607843137253,0.65229110512129385,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.22596153846153846
capture_2020_04_17_11_39_49_7221,0,0.49019607843137253,0.65229110512129385,0.48638132295719844,0.74202127659574468,0.48120300751879697,0.77158774373259054,0,0,0,0,0.22596153846153846
capture_2020_04_17_11_39_49_7222,0,0.49019607843137253,0.65229110512129385,0.49805447470817121,0.726063829787234,0.48872180451127817,0.75766016713091922,0,0,0,0,0.22596153846153846
capture_2020_04_17_11_39_49_7223,0,0.49411764705882355,0.64690026954177893,0.49805447470817121,0.7207446808510638,0.49436090225563911,0.75208913649025066,0,0,0,0,0.19711538461538461
capture_2020_04_17_11_39_49_7224,0,0.50196078431372548,0.64150943396226412,0.50583657587548636,0.71808510638297873,0.49624060150375937,0.74930362116991645,0,0,0,0,0.19711538461538461
capture_2020_04_17_11_39_49_7225,0,0.50196078431372548,0.64150943396226412,0.50778210116731515,0.71542553191489366,0.50375939849624063,0.74651810584958223,0,0,0,0,0.19711538461538461
capture_2020_04_17_11_39_49_7226,0,0.5117647058823529,0.633423180592992,0.51750972762645919,0.71010638297872342,0.50751879699248126,0.73816155988857934,0,0,0,0,0.19711538461538461
capture_2020_04_17_11_39_49_7227,0,0.52745098039215688,0.6307277628032345,0.52918287937743191,0.69414893617021278,0.518796992481203,0.73816155988857934,0,0,0,0,0.19711538461538461
capture_2020_04_17_11_39_49_7228,0,0.53333333333333333,0.63881401617250677,0.53696498054474706,0.69414893617021278,0.52443609022556392,0.72980501392757657,0,0,0,0,0.16826923076923078
