,noLeftEye,noRightEye,Left Eye,,RightEye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213.jpg,0,0,0.22535211267605634,0.47887323943661969,0.73943661971830987,0.47417840375586856,0.5,0.60563380281690138,0.49295774647887325,0.75117370892018775,0.49295774647887325,0.81690140845070425,0,0,0,0,142
capture_2020_04_17_11_39_49_7214.jpg,0,0,0.22535211267605634,0.47887323943661969,0.73943661971830987,0.47417840375586856,0.5,0.60563380281690138,0.49295774647887325,0.75117370892018775,0.49295774647887325,0.81690140845070425,0,0,0,0,142
capture_2020_04_17_11_39_49_7215.jpg,0,0,0.22535211267605634,0.47887323943661969,0.73943661971830987,0.47417840375586856,0.5,0.60563380281690138,0.49295774647887325,0.75117370892018775,0.49295774647887325,0.81690140845070425,0,0,0,0,142
capture_2020_04_17_11_39_49_7216.jpg,0,0,0.22535211267605634,0.47887323943661969,0.73943661971830987,0.47417840375586856,0.5,0.60563380281690138,0.49295774647887325,0.75117370892018775,0.49295774647887325,0.81690140845070425,0,0,0,0,142
capture_2020_04_17_11_39_49_7217.jpg,0,0,0.22916666666666666,0.46759259259259262,0.73611111111111116,0.46296296296296296,0.5,0.59722222222222221,0.49305555555555558,0.7407407407407407,0.49305555555555558,0.80555555555555558,0,0,0,0,144
capture_2020_04_17_11_39_49_7218.jpg,0,0,0.22916666666666666,0.46296296296296296,0.73611111111111116,0.45833333333333331,0.5,0.59722222222222221,0.49305555555555558,0.7407407407407407,0.49305555555555558,0.80555555555555558,0,0,0,0,144
capture_2020_04_17_11_39_49_7219.jpg,0,0,0.22916666666666666,0.45833333333333331,0.73611111111111116,0.45370370370370372,0.5,0.59722222222222221,0.49305555555555558,0.7407407407407407,0.49305555555555558,0.80555555555555558,0,0,0,0,144
capture_2020_04_17_11_39_49_7220.jpg,0,0,0.22916666666666666,0.45833333333333331,0.73611111111111116,0.45370370370370372,0.5,0.59259259259259256,0.49305555555555558,0.7407407407407407,0.49305555555555558,0.80555555555555558,0,0,0,0,144
capture_2020_04_17_11_39_49_7221.jpg,0,0,0.22916666666666666,0.45370370370370372,0.72916666666666663,0.45370370370370372,0.49305555555555558,0.58333333333333337,0.4861111111111111,0.73611111111111116,0.47916666666666669,0.80092592592592593,0,0,0,0,144
capture_2020_04_17_11_39_49_7222.jpg,0,0,0.22916666666666666,0.45370370370370372,0.72916666666666663,0.45370370370370372,0.49305555555555558,0.58333333333333337,0.47916666666666669,0.73148148148148151,0.47916666666666669,0.79629629629629628,0,0,0,0,144
capture_2020_04_17_11_39_49_7223.jpg,0,0,0.22916666666666666,0.44907407407407407,0.72222222222222221,0.44907407407407407,0.4861111111111111,0.57870370370370372,0.47916666666666669,0.72685185185185186,0.47222222222222221,0.79166666666666663,0,0,0,0,144
capture_2020_04_17_11_39_49_7224.jpg,0,0,0.22916666666666666,0.44907407407407407,0.72222222222222221,0.44907407407407407,0.4861111111111111,0.57870370370370372,0.47916666666666669,0.71759259259259256,0.47222222222222221,0.76851851851851849,0,0,0,0,144
capture_2020_04_17_11_39_49_7225.jpg,0,0,0.22602739726027396,0.44748858447488582,0.726027397260274,0.44748858447488582,0.4863013698630137,0.57534246575342463,0.47945205479452052,0.71232876712328763,0.4726027397260274,0.76255707762557079,0,0,0,0,146
capture_2020_04_17_11_39_49_7226.jpg,0,0,0.24657534246575341,0.45205479452054792,0.73287671232876717,0.45662100456621,0.5,0.57077625570776258,0.47945205479452052,0.71232876712328763,0.4726027397260274,0.76255707762557079,0,0,0,0,146
capture_2020_04_17_11_39_49_7227.jpg,0,0,0.27027027027027029,0.45945945945945948,0.7432432432432432,0.47297297297297297,0.51351351351351349,0.56756756756756754,0.49324324324324326,0.71171171171171166,0.48648648648648651,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7228.jpg,0,0,0.29729729729729731,0.45945945945945948,0.76351351351351349,0.47747747747747749,0.527027027027027,0.56756756756756754,0.5,0.71171171171171166,0.5,0.76576576576576572,0,0,0,0,148
