,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,0,43,113,116,112,81,135,80,172,79,185,0,0,0,0,162
capture_2020_04_17_11_39_49_7214,0,0,43,113,116,112,81,135,80,172,79,185,0,0,0,1,162
capture_2020_04_17_11_39_49_7215,0,0,43,113,116,112,81,135,80,172,79,185,0,0,0,1,162
capture_2020_04_17_11_39_49_7216,0,0,43,113,116,112,81,135,80,172,79,185,0,0,0,0,162
capture_2020_04_17_11_39_49_7217,0,0,43,112,116,111,81,135,80,172,79,185,0,0,0,0,162
capture_2020_04_17_11_39_49_7218,0,0,43,110,115,109,80,134,79,171,79,184,0,0,0,0,160
capture_2020_04_17_11_39_49_7219,0,0,43,110,115,109,80,134,79,170,79,184,0,0,0,0,160
capture_2020_04_17_11_39_49_7220,0,0,43,110,115,109,80,134,79,170,79,184,0,0,0,0,160
capture_2020_04_17_11_39_49_7221,0,0,40,107,114,107,79,133,77,168,78,182,0,0,0,0,158
capture_2020_04_17_11_39_49_7222,0,0,41,106,114,106,79,132,77,167,78,180,0,0,0,0,158
capture_2020_04_17_11_39_49_7223,0,0,40,105,112,106,76,131,76,165,77,176,0,0,0,0,156
capture_2020_04_17_11_39_49_7224,0,0,37,104,109,105,73,130,73,162,73,174,0,0,0,0,154
capture_2020_04_17_11_39_49_7225,0,0,38,101,109,103,75,126,74,160,74,172,0,0,0,0,154
capture_2020_04_17_11_39_49_7226,0,0,37,101,107,103,73,126,72,158,71,171,0,0,0,0,154
capture_2020_04_17_11_39_49_7227,0,0,37,98,106,101,72,123,69,155,69,166,0,0,0,0,152
capture_2020_04_17_11_39_49_7228,0,0,40,98,110,103,76,123,72,155,72,166,0,0,0,0,154
capture_2020_04_17_11_39_49_7229,0,0,42,99,110,104,76,123,73,154,73,166,0,0,0,0,154
capture_2020_04_17_11_39_49_7230,0,0,42,99,110,104,76,123,73,154,73,166,0,0,0,0,154
capture_2020_04_17_11_39_49_7231,0,0,42,99,111,103,76,120,74,151,73,164,0,0,0,0,154
capture_2020_04_17_11_39_49_7232,0,0,44,99,113,103,77,120,75,151,74,164,0,0,0,0,156
capture_2020_04_17_11_39_49_7233,0,0,43,99,111,103,76,120,74,154,74,165,0,0,0,0,154
capture_2020_04_17_11_39_49_7234,0,0,43,102,111,105,76,120,74,155,74,167,0,0,0,0,154
capture_2020_04_17_11_39_49_7235,0,0,42,103,109,106,75,123,73,156,73,168,0,0,0,0,152
capture_2020_04_17_11_39_49_7236,0,0,40,103,107,106,73,123,72,156,71,168,0,0,0,0,152
capture_2020_04_17_11_39_49_7237,0,0,39,103,106,105,72,122,70,156,70,167,0,0,0,0,150
capture_2020_04_17_11_39_49_7238,0,0,37,100,105,103,71,120,70,153,69,165,0,0,0,0,148
capture_2020_04_17_11_39_49_7239,0,0,38,101,105,103,71,120,70,153,69,165,0,0,0,0,148
capture_2020_04_17_11_39_49_7240,0,0,38,103,104,105,71,126,70,157,69,168,0,0,0,0,148
capture_2020_04_17_11_39_49_7241,0,0,38,103,104,104,71,126,69,156,69,167,0,0,0,0,148
capture_2020_04_17_11_39_49_7242,0,0,36,102,102,103,70,125,69,155,69,168,0,0,0,0,148
capture_2020_04_17_11_39_49_7243,0,0,38,102,104,102,72,123,70,154,70,167,0,0,0,0,150
capture_2020_04_17_11_39_49_7244,0,0,36,103,104,103,72,124,70,154,70,165,0,0,0,0,150
capture_2020_04_17_11_39_49_7245,0,0,36,103,104,103,72,124,70,154,70,165,0,0,0,0,150
capture_2020_04_17_11_39_49_7246,0,0,36,103,104,102,72,124,70,154,70,165,0,0,0,0,150
capture_2020_04_17_11_39_49_7247,0,0,36,104,103,104,71,125,69,156,69,167,0,0,0,0,148
capture_2020_04_17_11_39_49_7248,0,0,36,104,103,104,71,125,69,156,69,167,0,0,0,0,148
capture_2020_04_17_11_39_49_7249,0,0,37,104,104,105,71,126,70,158,70,170,0,0,0,0,148
capture_2020_04_17_11_39_49_7250,0,0,37,104,104,105,71,126,70,158,70,170,0,0,0,0,148
capture_2020_04_17_11_39_49_7251,0,0,37,104,104,104,71,126,70,157,70,170,0,0,0,0,148
capture_2020_04_17_11_39_49_7252,0,0,37,104,104,104,71,126,70,157,70,170,0,0,0,0,148
capture_2020_04_17_11_39_49_7253,0,0,37,104,104,104,71,126,70,157,70,170,0,0,0,0,148
capture_2020_04_17_11_39_49_7254,0,0,37,105,107,106,71,126,71,160,71,172,0,0,0,0,148
capture_2020_04_17_11_39_49_7255,0,0,37,105,107,106,71,126,70,160,70,172,0,0,0,0,148
capture_2020_04_17_11_39_49_7256,0,0,37,105,106,106,71,126,70,160,70,173,0,0,0,0,148
capture_2020_04_17_11_39_49_7257,0,0,37,105,106,106,71,126,70,162,70,174,0,0,0,0,148
capture_2020_04_17_11_39_49_7258,0,0,37,105,106,106,71,126,70,162,70,174,0,0,0,0,148
capture_2020_04_17_11_39_49_7259,0,0,37,106,106,106,71,127,70,162,70,175,0,0,0,0,148
capture_2020_04_17_11_39_49_7260,0,0,38,106,106,106,73,129,71,162,71,175,0,0,0,0,148
capture_2020_04_17_11_39_49_7261,0,0,38,106,106,106,73,129,71,162,71,175,0,0,0,0,148
capture_2020_04_17_11_39_49_7262,0,0,39,106,109,106,74,129,74,162,74,175,0,0,0,0,150
capture_2020_04_17_11_39_49_7263,0,0,39,105,108,104,74,129,73,161,73,172,0,0,0,0,150
capture_2020_04_17_11_39_49_7264,0,0,39,106,109,105,74,130,74,162,74,174,0,0,0,0,150
capture_2020_04_17_11_39_49_7265,0,0,40,106,112,105,76,130,75,163,75,175,0,0,0,0,152
capture_2020_04_17_11_39_49_7266,0,0,40,105,112,104,76,130,75,163,75,175,0,0,0,0,152
capture_2020_04_17_11_39_49_7267,0,0,40,106,113,106,76,131,76,166,76,178,0,0,0,0,154
capture_2020_04_17_11_39_49_7268,0,0,40,106,113,106,76,131,76,166,76,178,0,0,0,0,154
capture_2020_04_17_11_39_49_7269,0,0,40,109,113,108,76,133,76,169,76,181,0,0,0,0,154
capture_2020_04_17_11_39_49_7270,0,0,40,109,113,108,76,133,76,169,76,181,0,0,0,0,154
capture_2020_04_17_11_39_49_7271,0,0,42,109,116,108,78,135,78,170,78,183,0,0,0,0,156
capture_2020_04_17_11_39_49_7272,0,0,44,109,118,109,79,136,80,171,80,183,0,0,0,0,158
