,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7263,0,0,0.2638888888888889,0.50467289719626163,0.63265306122448983,0.54700854700854706,0.5,0.57961783439490444,0.46994535519125685,0.61904761904761907,0.44508670520231214,0.61971830985915488,0,0,0,0,200
capture_2020_04_17_11_39_49_7264,0,0,0.2638888888888889,0.50467289719626163,0.63945578231292521,0.54700854700854706,0.5,0.57961783439490444,0.48087431693989069,0.61224489795918369,0.45664739884393063,0.62676056338028174,0,0,0,0,200
capture_2020_04_17_11_39_49_7265,0,0,0.27083333333333331,0.48598130841121495,0.65306122448979587,0.53846153846153844,0.50505050505050508,0.56687898089171973,0.48087431693989069,0.60544217687074831,0.45664739884393063,0.61971830985915488,0,0,0,0,200
capture_2020_04_17_11_39_49_7266,0,0,0.27083333333333331,0.47663551401869159,0.65306122448979587,0.52991452991452992,0.50505050505050508,0.56687898089171973,0.48087431693989069,0.60544217687074831,0.45664739884393063,0.61971830985915488,0,0,0,0,200
capture_2020_04_17_11_39_49_7267,0,0,0.2638888888888889,0.47663551401869159,0.65306122448979587,0.53846153846153844,0.5,0.56687898089171973,0.48087431693989069,0.62585034013605445,0.45664739884393063,0.63380281690140849,0,0,0,0,200
capture_2020_04_17_11_39_49_7268,0,0,0.2638888888888889,0.47663551401869159,0.65306122448979587,0.53846153846153844,0.5,0.56687898089171973,0.48087431693989069,0.62585034013605445,0.45664739884393063,0.63380281690140849,0,0,0,0,200
capture_2020_04_17_11_39_49_7269,0,0,0.2638888888888889,0.50467289719626163,0.65306122448979587,0.55555555555555558,0.5,0.57324840764331209,0.48087431693989069,0.63945578231292521,0.45664739884393063,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7270,0,0,0.2638888888888889,0.50467289719626163,0.65306122448979587,0.55555555555555558,0.5,0.57324840764331209,0.48087431693989069,0.63945578231292521,0.45664739884393063,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7271,0,0,0.27777777777777779,0.49532710280373832,0.66666666666666663,0.53846153846153844,0.50505050505050508,0.57961783439490444,0.48633879781420764,0.63265306122448983,0.46242774566473988,0.65492957746478875,0,0,0,0,200
capture_2020_04_17_11_39_49_7272,0,0,0.29166666666666669,0.48598130841121495,0.66666666666666663,0.54700854700854706,0.50505050505050508,0.57961783439490444,0.49180327868852458,0.62585034013605445,0.46820809248554912,0.64084507042253525,0,0,0,0,200
capture_2020_04_17_11_39_49_7273,0,0,0.27777777777777779,0.49532710280373832,0.68027210884353739,0.55555555555555558,0.5252525252525253,0.59235668789808915,0.49180327868852458,0.63265306122448983,0.46820809248554912,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7274,0,0,0.28472222222222221,0.46728971962616822,0.673469387755102,0.54700854700854706,0.53030303030303028,0.59235668789808915,0.50273224043715847,0.63265306122448983,0.47976878612716761,0.64084507042253525,0,0,0,0,200
capture_2020_04_17_11_39_49_7275,0,0,0.28472222222222221,0.47663551401869159,0.68027210884353739,0.54700854700854706,0.52020202020202022,0.59235668789808915,0.48633879781420764,0.63945578231292521,0.46242774566473988,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7276,0,0,0.27777777777777779,0.47663551401869159,0.68027210884353739,0.55555555555555558,0.51515151515151514,0.57961783439490444,0.48633879781420764,0.63945578231292521,0.46242774566473988,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7277,0,0,0.28472222222222221,0.47663551401869159,0.66666666666666663,0.55555555555555558,0.51515151515151514,0.57961783439490444,0.49180327868852458,0.63265306122448983,0.46242774566473988,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7278,0,0,0.28472222222222221,0.44859813084112149,0.66666666666666663,0.54700854700854706,0.51515151515151514,0.56687898089171973,0.48633879781420764,0.61904761904761907,0.46242774566473988,0.63380281690140849,0,0,0,0,200
capture_2020_04_17_11_39_49_7279,0,0,0.28472222222222221,0.44859813084112149,0.66666666666666663,0.54700854700854706,0.51515151515151514,0.56687898089171973,0.48633879781420764,0.60544217687074831,0.46242774566473988,0.62676056338028174,0,0,0,0,200
capture_2020_04_17_11_39_49_7280,0,0,0.25,0.45794392523364486,0.63945578231292521,0.54700854700854706,0.5,0.56687898089171973,0.45901639344262296,0.60544217687074831,0.43352601156069365,0.62676056338028174,0,0,0,0,200
capture_2020_04_17_11_39_49_7281,0,0,0.24305555555555555,0.46728971962616822,0.63265306122448983,0.5641025641025641,0.48484848484848486,0.56687898089171973,0.44808743169398907,0.61904761904761907,0.42196531791907516,0.63380281690140849,0,0,0,0,200
capture_2020_04_17_11_39_49_7282,0,0,0.20833333333333334,0.46728971962616822,0.60544217687074831,0.5641025641025641,0.46969696969696972,0.5859872611464968,0.43169398907103823,0.61904761904761907,0.40462427745664742,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7283,0,0,0.22916666666666666,0.46728971962616822,0.60544217687074831,0.5641025641025641,0.46969696969696972,0.5859872611464968,0.43169398907103823,0.62585034013605445,0.40462427745664742,0.64084507042253525,0,0,0,0,200
capture_2020_04_17_11_39_49_7284,0,0,0.22916666666666666,0.46728971962616822,0.60544217687074831,0.5641025641025641,0.46969696969696972,0.5859872611464968,0.43169398907103823,0.63265306122448983,0.40462427745664742,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7285,0,0,0.20833333333333334,0.44859813084112149,0.60544217687074831,0.54700854700854706,0.46464646464646464,0.5859872611464968,0.42622950819672129,0.63945578231292521,0.39884393063583817,0.65492957746478875,0,0,0,0,200
capture_2020_04_17_11_39_49_7286,0,0,0.20833333333333334,0.44859813084112149,0.61224489795918369,0.53846153846153844,0.46464646464646464,0.5859872611464968,0.42076502732240439,0.63265306122448983,0.39884393063583817,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7287,0,0,0.21527777777777779,0.45794392523364486,0.60544217687074831,0.54700854700854706,0.46464646464646464,0.5859872611464968,0.42076502732240439,0.63945578231292521,0.39884393063583817,0.65492957746478875,0,0,0,0,200
capture_2020_04_17_11_39_49_7288,0,0,0.22222222222222221,0.45794392523364486,0.61224489795918369,0.53846153846153844,0.46464646464646464,0.57961783439490444,0.42622950819672129,0.62585034013605445,0.39306358381502893,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7289,0,0,0.22222222222222221,0.45794392523364486,0.60544217687074831,0.52991452991452992,0.46464646464646464,0.57961783439490444,0.42622950819672129,0.62585034013605445,0.39306358381502893,0.65492957746478875,0,0,0,0,200
capture_2020_04_17_11_39_49_7290,0,0,0.22916666666666666,0.50467289719626163,0.61224489795918369,0.5641025641025641,0.46969696969696972,0.5859872611464968,0.44262295081967212,0.63265306122448983,0.41618497109826591,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7291,0,0,0.22222222222222221,0.50467289719626163,0.60544217687074831,0.5641025641025641,0.46969696969696972,0.5859872611464968,0.44262295081967212,0.63265306122448983,0.41618497109826591,0.647887323943662,0,0,0,0,200
capture_2020_04_17_11_39_49_7292,0,0,0.22222222222222221,0.47663551401869159,0.61224489795918369,0.53846153846153844,0.46969696969696972,0.56687898089171973,0.44262295081967212,0.61904761904761907,0.41618497109826591,0.64084507042253525,0,0,0,0,200
capture_2020_04_17_11_39_49_7293,0,0,0.24305555555555555,0.47663551401869159,0.61904761904761907,0.53846153846153844,0.46969696969696972,0.56687898089171973,0.44262295081967212,0.61904761904761907,0.41618497109826591,0.64084507042253525,0,0,0,0,200
capture_2020_04_17_11_39_49_7294,0,0,0.24305555555555555,0.47663551401869159,0.63945578231292521,0.53846153846153844,0.47474747474747475,0.57324840764331209,0.453551912568306,0.61904761904761907,0.4277456647398844,0.63380281690140849,0,0,0,0,200
