,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,1,162
capture_2020_04_17_11_39_49_7214,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,1,162
capture_2020_04_17_11_39_49_7215,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,1,162
capture_2020_04_17_11_39_49_7216,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,0,162
capture_2020_04_17_11_39_49_7217,0,0,0.26543209876543211,0.46090534979423869,0.71604938271604934,0.4567901234567901,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,0,162
capture_2020_04_17_11_39_49_7218,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.7125,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7219,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.70833333333333337,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7220,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.70833333333333337,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7221,0,0,0.25316455696202533,0.45147679324894513,0.72151898734177211,0.45147679324894513,0.5,0.56118143459915615,0.48734177215189872,0.70886075949367089,0.49367088607594939,0.76793248945147674,0,0,0,0,158
capture_2020_04_17_11_39_49_7222,0,0,0.25949367088607594,0.4472573839662447,0.72151898734177211,0.4472573839662447,0.5,0.55696202531645567,0.48734177215189872,0.70464135021097052,0.49367088607594939,0.759493670886076,0,0,0,0,158
capture_2020_04_17_11_39_49_7223,0,0,0.25641025641025639,0.44871794871794873,0.717948717948718,0.452991452991453,0.48717948717948717,0.55982905982905984,0.48717948717948717,0.70512820512820518,0.49358974358974361,0.75213675213675213,0,0,0,0,156
capture_2020_04_17_11_39_49_7224,0,0,0.24025974025974026,0.45021645021645024,0.70779220779220775,0.45454545454545453,0.474025974025974,0.56277056277056281,0.474025974025974,0.70129870129870131,0.474025974025974,0.75324675324675328,0,0,0,0,154
capture_2020_04_17_11_39_49_7225,0,0,0.24675324675324675,0.43722943722943725,0.70779220779220775,0.44588744588744589,0.487012987012987,0.54545454545454541,0.48051948051948051,0.69264069264069261,0.48051948051948051,0.74458874458874458,0,0,0,0,154
capture_2020_04_17_11_39_49_7226,0,0,0.24025974025974026,0.43722943722943725,0.69480519480519476,0.44588744588744589,0.474025974025974,0.54545454545454541,0.46753246753246752,0.683982683982684,0.461038961038961,0.74025974025974028,0,0,0,0,154
capture_2020_04_17_11_39_49_7227,0,0,0.24342105263157896,0.42982456140350878,0.69736842105263153,0.44298245614035087,0.47368421052631576,0.53947368421052633,0.45394736842105265,0.67982456140350878,0.45394736842105265,0.72807017543859653,0,0,0,0,152
capture_2020_04_17_11_39_49_7228,0,0,0.25974025974025972,0.42424242424242425,0.7142857142857143,0.44588744588744589,0.4935064935064935,0.53246753246753242,0.46753246753246752,0.670995670995671,0.46753246753246752,0.7186147186147186,0,0,0,0,154
capture_2020_04_17_11_39_49_7229,0,0,0.27272727272727271,0.42857142857142855,0.7142857142857143,0.45021645021645024,0.4935064935064935,0.53246753246753242,0.474025974025974,0.66666666666666663,0.474025974025974,0.7186147186147186,0,0,0,0,154
capture_2020_04_17_11_39_49_7230,0,0,0.27272727272727271,0.42857142857142855,0.7142857142857143,0.45021645021645024,0.4935064935064935,0.53246753246753242,0.474025974025974,0.66666666666666663,0.474025974025974,0.7186147186147186,0,0,0,0,154
capture_2020_04_17_11_39_49_7231,0,0,0.27272727272727271,0.42857142857142855,0.72077922077922074,0.44588744588744589,0.4935064935064935,0.51948051948051943,0.48051948051948051,0.65367965367965364,0.474025974025974,0.70995670995671,0,0,0,0,154
capture_2020_04_17_11_39_49_7232,0,0,0.28205128205128205,0.42307692307692307,0.72435897435897434,0.44017094017094016,0.49358974358974361,0.51282051282051277,0.48076923076923078,0.64529914529914534,0.47435897435897434,0.70085470085470081,0,0,0,0,156
capture_2020_04_17_11_39_49_7233,0,0,0.2792207792207792,0.42857142857142855,0.72077922077922074,0.44588744588744589,0.4935064935064935,0.51948051948051943,0.48051948051948051,0.66666666666666663,0.48051948051948051,0.7142857142857143,0,0,0,0,154
capture_2020_04_17_11_39_49_7234,0,0,0.2792207792207792,0.44155844155844154,0.72077922077922074,0.45454545454545453,0.4935064935064935,0.51948051948051943,0.48051948051948051,0.670995670995671,0.48051948051948051,0.72294372294372289,0,0,0,0,154
capture_2020_04_17_11_39_49_7235,0,0,0.27631578947368424,0.4517543859649123,0.71710526315789469,0.46491228070175439,0.49342105263157893,0.53947368421052633,0.48026315789473684,0.68421052631578949,0.48026315789473684,0.73684210526315785,0,0,0,0,152
capture_2020_04_17_11_39_49_7236,0,0,0.26315789473684209,0.4517543859649123,0.70394736842105265,0.46491228070175439,0.48026315789473684,0.53947368421052633,0.47368421052631576,0.68421052631578949,0.46710526315789475,0.73684210526315785,0,0,0,0,152
capture_2020_04_17_11_39_49_7237,0,0,0.26,0.45777777777777778,0.70666666666666667,0.46666666666666667,0.48,0.54222222222222227,0.46666666666666667,0.69333333333333336,0.46666666666666667,0.74222222222222223,0,0,0,0,150
capture_2020_04_17_11_39_49_7238,0,0,0.25,0.45045045045045046,0.70945945945945943,0.46396396396396394,0.47972972972972971,0.54054054054054057,0.47297297297297297,0.68918918918918914,0.46621621621621623,0.7432432432432432,0,0,0,0,148
capture_2020_04_17_11_39_49_7239,0,0,0.25675675675675674,0.45495495495495497,0.70945945945945943,0.46396396396396394,0.47972972972972971,0.54054054054054057,0.47297297297297297,0.68918918918918914,0.46621621621621623,0.7432432432432432,0,0,0,0,148
capture_2020_04_17_11_39_49_7240,0,0,0.25675675675675674,0.46396396396396394,0.70270270270270274,0.47297297297297297,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.7072072072072072,0.46621621621621623,0.7567567567567568,0,0,0,0,148
capture_2020_04_17_11_39_49_7241,0,0,0.25675675675675674,0.46396396396396394,0.70270270270270274,0.46846846846846846,0.47972972972972971,0.56756756756756754,0.46621621621621623,0.70270270270270274,0.46621621621621623,0.75225225225225223,0,0,0,0,148
capture_2020_04_17_11_39_49_7242,0,0,0.24324324324324326,0.45945945945945948,0.68918918918918914,0.46396396396396394,0.47297297297297297,0.56306306306306309,0.46621621621621623,0.69819819819819817,0.46621621621621623,0.7567567567567568,0,0,0,0,148
capture_2020_04_17_11_39_49_7243,0,0,0.25333333333333335,0.45333333333333331,0.69333333333333336,0.45333333333333331,0.48,0.54666666666666663,0.46666666666666667,0.68444444444444441,0.46666666666666667,0.74222222222222223,0,0,0,0,150
capture_2020_04_17_11_39_49_7244,0,0,0.24,0.45777777777777778,0.69333333333333336,0.45777777777777778,0.48,0.55111111111111111,0.46666666666666667,0.68444444444444441,0.46666666666666667,0.73333333333333328,0,0,0,0,150
capture_2020_04_17_11_39_49_7245,0,0,0.24,0.45777777777777778,0.69333333333333336,0.45777777777777778,0.48,0.55111111111111111,0.46666666666666667,0.68444444444444441,0.46666666666666667,0.73333333333333328,0,0,0,0,150
capture_2020_04_17_11_39_49_7246,0,0,0.24,0.45777777777777778,0.69333333333333336,0.45333333333333331,0.48,0.55111111111111111,0.46666666666666667,0.68444444444444441,0.46666666666666667,0.73333333333333328,0,0,0,0,150
capture_2020_04_17_11_39_49_7247,0,0,0.24324324324324326,0.46846846846846846,0.69594594594594594,0.46846846846846846,0.47972972972972971,0.56306306306306309,0.46621621621621623,0.70270270270270274,0.46621621621621623,0.75225225225225223,0,0,0,0,148
capture_2020_04_17_11_39_49_7248,0,0,0.24324324324324326,0.46846846846846846,0.69594594594594594,0.46846846846846846,0.47972972972972971,0.56306306306306309,0.46621621621621623,0.70270270270270274,0.46621621621621623,0.75225225225225223,0,0,0,0,148
capture_2020_04_17_11_39_49_7249,0,0,0.25,0.46846846846846846,0.70270270270270274,0.47297297297297297,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.71171171171171166,0.47297297297297297,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7250,0,0,0.25,0.46846846846846846,0.70270270270270274,0.47297297297297297,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.71171171171171166,0.47297297297297297,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7251,0,0,0.25,0.46846846846846846,0.70270270270270274,0.46846846846846846,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.7072072072072072,0.47297297297297297,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7252,0,0,0.25,0.46846846846846846,0.70270270270270274,0.46846846846846846,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.7072072072072072,0.47297297297297297,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7253,0,0,0.25,0.46846846846846846,0.70270270270270274,0.46846846846846846,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.7072072072072072,0.47297297297297297,0.76576576576576572,0,0,0,0,148
capture_2020_04_17_11_39_49_7254,0,0,0.25,0.47297297297297297,0.722972972972973,0.47747747747747749,0.47972972972972971,0.56756756756756754,0.47972972972972971,0.72072072072072069,0.47972972972972971,0.77477477477477474,0,0,0,0,148
capture_2020_04_17_11_39_49_7255,0,0,0.25,0.47297297297297297,0.722972972972973,0.47747747747747749,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.72072072072072069,0.47297297297297297,0.77477477477477474,0,0,0,0,148
capture_2020_04_17_11_39_49_7256,0,0,0.25,0.47297297297297297,0.71621621621621623,0.47747747747747749,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.72072072072072069,0.47297297297297297,0.77927927927927931,0,0,0,0,148
capture_2020_04_17_11_39_49_7257,0,0,0.25,0.47297297297297297,0.71621621621621623,0.47747747747747749,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.72972972972972971,0.47297297297297297,0.78378378378378377,0,0,0,0,148
capture_2020_04_17_11_39_49_7258,0,0,0.25,0.47297297297297297,0.71621621621621623,0.47747747747747749,0.47972972972972971,0.56756756756756754,0.47297297297297297,0.72972972972972971,0.47297297297297297,0.78378378378378377,0,0,0,0,148
capture_2020_04_17_11_39_49_7259,0,0,0.25,0.47747747747747749,0.71621621621621623,0.47747747747747749,0.47972972972972971,0.57207207207207211,0.47297297297297297,0.72972972972972971,0.47297297297297297,0.78828828828828834,0,0,0,0,148
capture_2020_04_17_11_39_49_7260,0,0,0.25675675675675674,0.47747747747747749,0.71621621621621623,0.47747747747747749,0.49324324324324326,0.581081081081081,0.47972972972972971,0.72972972972972971,0.47972972972972971,0.78828828828828834,0,0,0,0,148
capture_2020_04_17_11_39_49_7261,0,0,0.25675675675675674,0.47747747747747749,0.71621621621621623,0.47747747747747749,0.49324324324324326,0.581081081081081,0.47972972972972971,0.72972972972972971,0.47972972972972971,0.78828828828828834,0,0,0,0,148
capture_2020_04_17_11_39_49_7262,0,0,0.26,0.47111111111111109,0.72666666666666668,0.47111111111111109,0.49333333333333335,0.57333333333333336,0.49333333333333335,0.72,0.49333333333333335,0.77777777777777779,0,0,0,0,150
