,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:
Picture:,,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,0,162
capture_2020_04_17_11_39_49_7214,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,1,162
capture_2020_04_17_11_39_49_7215,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,1,162
capture_2020_04_17_11_39_49_7216,0,0,0.26543209876543211,0.46502057613168724,0.71604938271604934,0.46090534979423869,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,0,162
capture_2020_04_17_11_39_49_7217,0,0,0.26543209876543211,0.46090534979423869,0.71604938271604934,0.4567901234567901,0.5,0.55555555555555558,0.49382716049382713,0.70781893004115226,0.48765432098765432,0.76131687242798352,0,0,0,0,162
capture_2020_04_17_11_39_49_7218,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.7125,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7219,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.70833333333333337,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7220,0,0,0.26875,0.45833333333333331,0.71875,0.45416666666666666,0.5,0.55833333333333335,0.49375,0.70833333333333337,0.49375,0.76666666666666672,0,0,0,0,160
capture_2020_04_17_11_39_49_7221,0,0,0.25316455696202533,0.45147679324894513,0.72151898734177211,0.45147679324894513,0.5,0.56118143459915615,0.48734177215189872,0.70886075949367089,0.49367088607594939,0.76793248945147674,0,0,0,0,158
