,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7228_left,0,54,20,54,43,54,70,9,52,93,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7228_right,0,46,26,48,50,50,72,9,52,91,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7229_left,0,59,22,59,46,59,70,9,48,96,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7229_right,0,51,28,51,51,51,72,11,49,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7230_left,0,59,24,59,46,57,67,11,50,93,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7230_right,0,49,30,49,53,51,74,11,53,91,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7231_left,0,61,21,59,47,61,64,13,47,93,49,0,0,0,0,100
capture_2020_04_17_11_39_49_7231_right,0,52,26,50,50,52,70,13,50,91,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7232_left,0,66,17,62,41,64,63,17,46,96,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7232_right,0,51,26,51,47,51,68,11,47,94,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7233_left,0,61,24,59,48,61,65,15,52,96,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7233_right,0,57,33,50,52,52,76,13,57,93,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7234_left,0,61,28,63,50,59,72,13,57,96,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7234_right,0,48,33,48,54,50,72,13,57,96,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7235_left,0,60,29,58,49,58,73,13,56,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7235_right,0,50,33,48,56,48,76,13,56,91,64,0,0,0,0,100
capture_2020_04_17_11_39_49_7236_left,0,57,29,57,53,59,73,13,56,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7236_right,0,49,33,49,54,49,74,11,59,93,63,0,0,0,0,100
capture_2020_04_17_11_39_49_7237_left,0,56,29,56,53,56,76,13,58,96,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7237_right,0,51,36,51,58,51,78,9,60,93,64,0,0,0,0,100
capture_2020_04_17_11_39_49_7238_left,0,57,32,57,52,59,77,9,57,95,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7238_right,0,52,34,52,55,52,80,7,59,93,64,0,0,0,0,100
capture_2020_04_17_11_39_49_7239_left,0,58,29,56,53,56,76,9,58,93,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7239_right,0,47,31,49,53,49,76,9,58,93,62,0,0,0,0,100
capture_2020_04_17_11_39_49_7240_left,0,57,29,55,53,55,78,7,58,95,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7240_right,0,49,32,49,55,49,80,9,59,96,64,0,0,0,0,100
capture_2020_04_17_11_39_49_7241_left,0,56,30,53,55,56,75,9,59,98,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7241_right,0,48,30,48,55,50,75,7,55,95,64,0,0,0,0,100
capture_2020_04_17_11_39_49_7242_left,0,55,31,55,56,55,78,7,60,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7242_right,0,47,32,49,55,49,75,4,55,93,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7243_left,0,53,27,53,51,53,73,9,56,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7243_right,0,44,24,47,49,47,71,9,53,96,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7244_left,0,56,27,56,51,53,71,11,60,93,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7244_right,0,53,29,47,51,47,73,9,53,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7245_left,0,56,29,53,53,58,73,7,60,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7245_right,0,51,27,47,49,47,76,7,49,96,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7246_left,0,51,27,56,51,51,76,7,53,96,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7246_right,0,51,27,47,49,49,76,2,51,93,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7247_left,0,50,27,55,56,52,78,2,60,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7247_right,0,50,25,48,52,48,75,9,55,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7248_left,0,51,25,56,55,51,77,7,61,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7248_right,0,50,25,48,52,50,75,5,55,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7249_left,0,50,25,52,55,50,75,7,59,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7249_right,0,51,27,49,53,51,76,4,56,93,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7250_left,0,52,25,52,55,52,75,7,59,95,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7250_right,0,53,27,51,56,51,76,7,58,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7251_left,0,53,27,51,56,51,78,7,58,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7251_right,0,50,27,52,55,52,77,7,59,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7252_left,0,50,27,52,56,52,78,5,56,98,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7252_right,0,51,27,51,55,51,77,7,59,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7253_left,0,52,27,52,56,52,78,7,58,98,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7253_right,0,52,27,52,53,52,78,7,56,95,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7254_left,0,50,27,52,55,52,77,7,59,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7254_right,0,50,27,50,55,52,77,5,57,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7255_left,0,53,27,53,55,51,77,7,57,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7255_right,0,55,27,52,55,52,77,9,55,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7256_left,0,55,27,52,55,52,77,7,57,98,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7256_right,0,52,29,52,56,52,76,7,56,98,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7257_left,0,52,30,52,55,52,77,7,61,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7257_right,0,52,29,52,56,52,78,5,60,98,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7258_left,0,52,30,52,55,52,77,7,61,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7258_right,0,53,30,51,55,53,77,7,61,98,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7259_left,0,52,30,52,55,52,77,7,61,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7259_right,0,55,30,52,55,52,77,7,57,98,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7260_left,0,55,31,52,56,52,78,5,60,98,62,0,0,0,0,100
capture_2020_04_17_11_39_49_7260_right,0,55,30,55,57,52,77,7,59,98,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7261_left,0,55,30,55,59,52,77,7,64,98,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7261_right,0,53,31,53,56,53,78,7,58,98,62,0,0,0,0,100
capture_2020_04_17_11_39_49_7262_left,0,51,31,51,53,51,76,9,60,98,62,0,0,0,0,100
capture_2020_04_17_11_39_49_7262_right,0,51,29,51,53,53,76,4,56,98,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7263_left,0,51,29,51,56,53,76,4,60,98,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7263_right,0,53,24,53,51,53,76,4,60,98,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7264_left,0,53,29,53,60,53,80,7,62,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7264_right,0,53,29,51,53,53,80,9,58,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7265_left,0,52,28,52,54,52,78,7,63,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7265_right,0,53,29,51,53,53,80,7,56,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7266_left,0,51,28,53,54,53,78,4,61,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7266_right,0,53,27,51,51,53,76,7,56,96,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7267_left,0,50,32,54,55,54,74,7,60,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7267_right,0,50,33,50,52,52,74,9,57,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7268_left,0,50,33,54,54,52,78,7,61,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7268_right,0,53,32,53,51,55,77,6,55,98,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7269_left,0,53,33,53,59,55,78,6,63,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7269_right,0,54,30,52,54,54,78,7,59,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7270_left,0,54,30,54,59,54,78,4,63,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7270_right,0,50,33,52,54,52,76,7,59,98,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7271_left,0,51,32,55,55,51,77,6,60,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7271_right,0,55,30,53,52,53,74,6,54,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7272_left,0,53,29,53,52,55,73,4,56,98,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7272_right,0,52,30,54,51,54,74,4,53,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7273_left,0,56,30,54,53,54,72,6,57,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7273_right,0,55,29,53,54,53,73,9,56,98,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7274_left,0,56,25,56,52,58,73,8,54,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7274_right,0,52,27,54,50,52,71,10,54,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7275_left,0,56,27,56,52,56,73,10,54,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7275_right,0,50,33,52,54,52,75,6,54,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7276_left,0,55,31,55,53,55,73,10,57,98,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7276_right,0,52,33,54,55,54,76,10,59,96,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7277_left,0,55,27,55,51,55,76,6,57,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7277_right,0,51,29,55,53,55,73,6,53,98,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7278_left,0,54,31,54,51,54,71,8,55,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7278_right,0,58,31,58,53,56,76,4,57,96,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7279_left,0,58,30,56,50,56,76,4,54,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7279_right,0,54,32,54,54,54,76,6,54,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7280_left,0,54,29,54,55,52,75,6,55,98,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7280_right,0,53,32,51,56,51,74,8,58,96,60,0,0,0,0,100
capture_2020_04_17_11_39_49_7281_left,0,51,31,51,53,53,75,6,57,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7281_right,0,53,33,53,55,51,76,8,59,96,61,0,0,0,0,100
capture_2020_04_17_11_39_49_7282_left,0,52,25,52,52,52,75,6,52,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7282_right,0,50,27,50,52,50,75,6,54,94,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7283_left,0,50,27,50,52,50,75,6,54,94,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7283_right,0,48,31,50,54,48,79,4,60,94,62,0,0,0,0,100
capture_2020_04_17_11_39_49_7284_left,0,48,23,50,50,50,79,4,54,94,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7284_right,0,50,29,50,54,48,79,4,58,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7285_left,0,48,23,48,52,48,75,2,54,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7285_right,0,46,29,50,52,48,77,4,56,96,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7286_left,0,49,25,49,51,49,75,8,53,96,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7286_right,0,49,26,49,49,49,75,4,55,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7287_left,0,50,22,52,50,52,74,4,52,96,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7287_right,0,49,28,51,50,51,74,2,54,98,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7288_left,0,48,26,48,50,50,74,4,56,96,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7288_right,0,48,26,48,50,50,74,4,52,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7289_left,0,51,27,49,50,49,73,4,52,95,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7289_right,0,47,25,51,50,49,73,4,55,95,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7290_left,0,53,26,53,53,53,76,2,59,96,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7290_right,0,50,29,50,53,48,74,3,59,95,59,0,0,0,0,100
capture_2020_04_17_11_39_49_7291_left,0,53,29,52,55,52,76,5,59,95,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7291_right,0,54,29,51,53,53,76,5,57,97,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7292_left,0,54,29,51,54,53,76,5,58,97,58,0,0,0,0,100
capture_2020_04_17_11_39_49_7292_right,0,49,29,51,53,51,75,5,53,97,58,0,0,0,0,100
