,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:
Picture:,,"(x,",y),"(x,",y),"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7228_left,0,0.60759493670886078,0.22413793103448276,0.55223880597014929,0.34782608695652173,0.589041095890411,0.55263157894736847,0.17307692307692307,0.38028169014084506,0.875,0.50684931506849318,0,0,0,0,100
capture_2020_04_17_11_39_49_7228_right,0,0.50632911392405067,0.32758620689655171,0.46268656716417911,0.5,0.53424657534246578,0.60526315789473684,0.17307692307692307,0.38028169014084506,0.83333333333333337,0.63013698630136983,0,0,0,0,100
capture_2020_04_17_11_39_49_7229_left,0,0.67088607594936711,0.25862068965517243,0.62686567164179108,0.41304347826086957,0.65753424657534243,0.55263157894736847,0.17307692307692307,0.323943661971831,0.9375,0.53424657534246578,0,0,0,0,100
capture_2020_04_17_11_39_49_7229_right,0,0.569620253164557,0.36206896551724138,0.5074626865671642,0.52173913043478259,0.547945205479452,0.60526315789473684,0.21153846153846154,0.3380281690140845,0.9375,0.67123287671232879,0,0,0,0,100
capture_2020_04_17_11_39_49_7230_left,0,0.67088607594936711,0.29310344827586204,0.62686567164179108,0.41304347826086957,0.63013698630136983,0.47368421052631576,0.21153846153846154,0.352112676056338,0.875,0.53424657534246578,0,0,0,0,100
capture_2020_04_17_11_39_49_7230_right,0,0.54430379746835444,0.39655172413793105,0.47761194029850745,0.56521739130434778,0.547945205479452,0.65789473684210531,0.21153846153846154,0.39436619718309857,0.83333333333333337,0.67123287671232879,0,0,0,0,100
capture_2020_04_17_11_39_49_7231_left,0,0.69620253164556967,0.2413793103448276,0.62686567164179108,0.43478260869565216,0.684931506849315,0.39473684210526316,0.25,0.30985915492957744,0.875,0.52054794520547942,0,0,0,0,100
capture_2020_04_17_11_39_49_7231_right,0,0.58227848101265822,0.32758620689655171,0.4925373134328358,0.5,0.56164383561643838,0.55263157894736847,0.25,0.352112676056338,0.83333333333333337,0.684931506849315,0,0,0,0,100
capture_2020_04_17_11_39_49_7232_left,0,0.759493670886076,0.17241379310344829,0.67164179104477617,0.30434782608695654,0.726027397260274,0.36842105263157893,0.32692307692307693,0.29577464788732394,0.9375,0.53424657534246578,0,0,0,0,100
capture_2020_04_17_11_39_49_7232_right,0,0.569620253164557,0.32758620689655171,0.5074626865671642,0.43478260869565216,0.547945205479452,0.5,0.21153846153846154,0.30985915492957744,0.89583333333333337,0.60273972602739723,0,0,0,0,100
capture_2020_04_17_11_39_49_7233_left,0,0.69620253164556967,0.29310344827586204,0.62686567164179108,0.45652173913043476,0.684931506849315,0.42105263157894735,0.28846153846153844,0.38028169014084506,0.9375,0.53424657534246578,0,0,0,0,100
capture_2020_04_17_11_39_49_7233_right,0,0.64556962025316456,0.44827586206896552,0.4925373134328358,0.54347826086956519,0.56164383561643838,0.71052631578947367,0.25,0.45070422535211269,0.875,0.684931506849315,0,0,0,0,100
capture_2020_04_17_11_39_49_7234_left,0,0.69620253164556967,0.36206896551724138,0.68656716417910446,0.5,0.65753424657534243,0.60526315789473684,0.25,0.45070422535211269,0.9375,0.53424657534246578,0,0,0,0,100
capture_2020_04_17_11_39_49_7234_right,0,0.53164556962025311,0.44827586206896552,0.46268656716417911,0.58695652173913049,0.53424657534246578,0.60526315789473684,0.25,0.45070422535211269,0.9375,0.684931506849315,0,0,0,0,100
capture_2020_04_17_11_39_49_7235_left,0,0.68354430379746833,0.37931034482758619,0.61194029850746268,0.47826086956521741,0.64383561643835618,0.631578947368421,0.25,0.43661971830985913,0.97916666666666663,0.57534246575342463,0,0,0,0,100
capture_2020_04_17_11_39_49_7235_right,0,0.55696202531645567,0.44827586206896552,0.46268656716417911,0.63043478260869568,0.50684931506849318,0.71052631578947367,0.25,0.43661971830985913,0.83333333333333337,0.726027397260274,0,0,0,0,100
capture_2020_04_17_11_39_49_7236_left,0,0.64556962025316456,0.37931034482758619,0.59701492537313428,0.56521739130434778,0.65753424657534243,0.631578947368421,0.25,0.43661971830985913,0.9375,0.547945205479452,0,0,0,0,100
capture_2020_04_17_11_39_49_7236_right,0,0.54430379746835444,0.44827586206896552,0.47761194029850745,0.58695652173913049,0.52054794520547942,0.65789473684210531,0.21153846153846154,0.47887323943661969,0.875,0.71232876712328763,0,0,0,0,100
capture_2020_04_17_11_39_49_7237_left,0,0.63291139240506333,0.37931034482758619,0.582089552238806,0.56521739130434778,0.61643835616438358,0.71052631578947367,0.25,0.46478873239436619,0.9375,0.61643835616438358,0,0,0,0,100
capture_2020_04_17_11_39_49_7237_right,0,0.569620253164557,0.5,0.5074626865671642,0.67391304347826086,0.547945205479452,0.76315789473684215,0.17307692307692307,0.49295774647887325,0.875,0.726027397260274,0,0,0,0,100
capture_2020_04_17_11_39_49_7238_left,0,0.64556962025316456,0.43103448275862066,0.59701492537313428,0.54347826086956519,0.65753424657534243,0.73684210526315785,0.17307692307692307,0.45070422535211269,0.91666666666666663,0.60273972602739723,0,0,0,0,100
capture_2020_04_17_11_39_49_7238_right,0,0.58227848101265822,0.46551724137931033,0.52238805970149249,0.60869565217391308,0.56164383561643838,0.81578947368421051,0.13461538461538461,0.47887323943661969,0.875,0.726027397260274,0,0,0,0,100
capture_2020_04_17_11_39_49_7239_left,0,0.65822784810126578,0.37931034482758619,0.582089552238806,0.56521739130434778,0.61643835616438358,0.71052631578947367,0.17307692307692307,0.46478873239436619,0.875,0.64383561643835618,0,0,0,0,100
capture_2020_04_17_11_39_49_7239_right,0,0.51898734177215189,0.41379310344827586,0.47761194029850745,0.56521739130434778,0.52054794520547942,0.71052631578947367,0.17307692307692307,0.46478873239436619,0.875,0.69863013698630139,0,0,0,0,100
capture_2020_04_17_11_39_49_7240_left,0,0.64556962025316456,0.37931034482758619,0.56716417910447758,0.56521739130434778,0.60273972602739723,0.76315789473684215,0.13461538461538461,0.46478873239436619,0.91666666666666663,0.57534246575342463,0,0,0,0,100
capture_2020_04_17_11_39_49_7240_right,0,0.54430379746835444,0.43103448275862066,0.47761194029850745,0.60869565217391308,0.52054794520547942,0.81578947368421051,0.17307692307692307,0.47887323943661969,0.9375,0.726027397260274,0,0,0,0,100
capture_2020_04_17_11_39_49_7241_left,0,0.63291139240506333,0.39655172413793105,0.53731343283582089,0.60869565217391308,0.61643835616438358,0.68421052631578949,0.17307692307692307,0.47887323943661969,0.97916666666666663,0.63013698630136983,0,0,0,0,100
capture_2020_04_17_11_39_49_7241_right,0,0.53164556962025311,0.39655172413793105,0.46268656716417911,0.60869565217391308,0.53424657534246578,0.68421052631578949,0.13461538461538461,0.42253521126760563,0.91666666666666663,0.726027397260274,0,0,0,0,100
capture_2020_04_17_11_39_49_7242_left,0,0.620253164556962,0.41379310344827586,0.56716417910447758,0.63043478260869568,0.60273972602739723,0.76315789473684215,0.13461538461538461,0.49295774647887325,0.91666666666666663,0.61643835616438358,0,0,0,0,100
capture_2020_04_17_11_39_49_7242_right,0,0.51898734177215189,0.43103448275862066,0.47761194029850745,0.60869565217391308,0.52054794520547942,0.68421052631578949,0.076923076923076927,0.42253521126760563,0.875,0.684931506849315,0,0,0,0,100
capture_2020_04_17_11_39_49_7243_left,0,0.59493670886075944,0.34482758620689657,0.53731343283582089,0.52173913043478259,0.57534246575342463,0.631578947368421,0.17307692307692307,0.43661971830985913,0.9375,0.547945205479452,0,0,0,0,100
capture_2020_04_17_11_39_49_7243_right,0,0.48101265822784811,0.29310344827586204,0.44776119402985076,0.47826086956521741,0.49315068493150682,0.57894736842105265,0.17307692307692307,0.39436619718309857,0.9375,0.57534246575342463,0,0,0,0,100
capture_2020_04_17_11_39_49_7244_left,0,0.63291139240506333,0.34482758620689657,0.582089552238806,0.52173913043478259,0.57534246575342463,0.57894736842105265,0.21153846153846154,0.49295774647887325,0.875,0.61643835616438358,0,0,0,0,100
capture_2020_04_17_11_39_49_7244_right,0,0.59493670886075944,0.37931034482758619,0.44776119402985076,0.52173913043478259,0.49315068493150682,0.631578947368421,0.17307692307692307,0.39436619718309857,0.9375,0.64383561643835618,0,0,0,0,100
capture_2020_04_17_11_39_49_7245_left,0,0.63291139240506333,0.37931034482758619,0.53731343283582089,0.56521739130434778,0.64383561643835618,0.631578947368421,0.13461538461538461,0.49295774647887325,0.9375,0.547945205479452,0,0,0,0,100
